"","IH00C1_hpfc","SPX_hpfc","FTSE_hpfc"
"2010-04-19",NA,73.9519654041765,354.560056813976
"2010-04-20",NA,83.8668819315858,411.954833203139
"2010-04-21",NA,82.910178350221,353.328508496962
"2010-04-22",NA,85.9215705954638,296.878714724638
"2010-04-23",NA,94.8207403309837,356.862937863552
"2010-04-26",NA,89.8873337039429,388.73854117341
"2010-04-27",NA,61.8509576663996,240.092740401057
"2010-04-28",NA,69.8111820146004,224.872590604509
"2010-04-29",NA,85.5475509780991,257.795047597077
"2010-04-30",NA,65.7795799293174,194.936974238782
"2010-05-04",NA,53.3485106462661,54.4451268275446
"2010-05-05",NA,45.9842842898567,-13.0538189178367
"2010-05-06",NA,8.57346681536622,-92.3232097839579
"2010-05-07",NA,-8.35456377940488,-228.636387161504
"2010-05-10",NA,40.8395669594194,37.4033457215482
"2010-05-11",NA,37.2452369391514,-14.1872198536987
"2010-05-12",NA,53.4718071856745,36.6486919328153
"2010-05-13",NA,39.5886233291846,88.4978627655588
"2010-05-14",NA,18.1750088967842,-80.8429408200487
"2010-05-17",NA,19.7802710512296,-79.64698887004
"2010-05-18",NA,3.98370944245949,-33.3775180132939
"2010-05-19",NA,-1.42538445595362,-181.207731955824
"2010-05-20",NA,-44.5477208171431,-264.770820606695
"2010-05-21",NA,-28.1140092250471,-273.629898970885
"2010-05-24",NA,-41.824940849371,-265.657972607865
"2010-05-25",NA,-41.1211952386108,-393.347933969547
"2010-05-26",NA,-46.8834346525254,-294.762565695448
"2010-05-27",NA,-11.4623043530133,-136.544487830863
"2010-05-28",NA,-24.8084302222587,-142.216198578214
"2010-05-31",NA,NA,NA
"2010-06-01",NA,-43.2124334043765,-166.340139697787
"2010-06-02",NA,-15.2549247886687,-177.378694163308
"2010-06-03",NA,-10.5264974021827,-116.644176190453
"2010-06-04",NA,-48.2077379661742,-201.018826673556
"2010-06-07",NA,-62.3592288506649,-257.224838290762
"2010-06-08",NA,-50.5815324985655,-297.474320627436
"2010-06-09",NA,-56.6551855759459,-239.179276942289
"2010-06-10",NA,-25.280703840514,-192.031587530317
"2010-06-11",NA,-20.3085796310365,-160.423033819211
"2010-06-17",NA,4.84682309511184,-69.3233090733131
"2010-06-18",NA,6.46006410811477,-72.3648335015934
"2010-06-21",NA,2.27812544916679,-24.1749429790589
"2010-06-22",NA,-15.4994648020932,-76.4750854235812
"2010-06-23",NA,-18.6731795077247,-145.196698760074
"2010-06-24",NA,-36.9434851229009,-223.841189302016
"2010-06-25",NA,-33.810840384074,-278.049903344061
"2010-06-28",NA,-35.9556887567745,-253.384094653994
"2010-06-29",NA,-69.258459730427,-411.484902065116
"2010-06-30",NA,-79.7795679319306,-409.573359671812
"2010-07-01",NA,-83.1293993593978,-521.530331477327
"2010-07-02",NA,-87.9483070332838,-490.126512183265
"2010-07-05",NA,NA,-505.722380911971
"2010-07-06",NA,-82.5166096117481,-365.38821418703
"2010-07-07",NA,-50.3745893986785,-316.804079486869
"2010-07-08",NA,-40.4824945888541,-227.509893253019
"2010-07-09",NA,-32.8805525542479,-201.455440973226
"2010-07-12",NA,-32.2189739330363,-168.910414091311
"2010-07-13",NA,-15.7779557718419,-66.5444207778856
"2010-07-14",NA,-16.1176817992651,-85.7769993825919
"2010-07-15",NA,-14.9983292219588,-129.837660748269
"2010-07-16",NA,-46.8100685841277,-184.205880261242
"2010-07-19",NA,-40.6730642303593,-196.801079637997
"2010-07-20",NA,-28.6974611557094,-207.742604451538
"2010-07-21",NA,-42.8633875427181,-134.779718925339
"2010-07-22",NA,-19.0809597115569,-37.9216014107406
"2010-07-23",NA,-10.41027626438,-41.5173745462562
"2010-07-26",NA,1.59857208395828,-5.51614529513689
"2010-07-27",NA,0.0654989218138891,6.44299654071698
"2010-07-28",NA,-8.02958282322312,-42.2290365599499
"2010-07-29",NA,-13.0367602506963,-50.7313347821622
"2010-07-30",NA,-13.3961171409811,-109.522970854954
"2010-08-02",NA,10.4122681143434,26.6170034631447
"2010-08-03",NA,4.53832266119072,22.9495816855954
"2010-08-04",NA,10.8219693414197,9.50574632375112
"2010-08-05",NA,8.87312912095131,-14.0835295976697
"2010-08-06",NA,4.16171849230853,-50.7672769831888
"2010-08-09",NA,9.74765028024356,23.985479084361
"2010-08-10",NA,2.43083558919297,-13.5842654928112
"2010-08-11",NA,-29.7688185056368,-148.325524727112
"2010-08-12",NA,-36.2614059338946,-131.097307015787
"2010-08-13",NA,-41.2770083199606,-125.41855944406
"2010-08-16",NA,-41.8256922992569,-128.538174906993
"2010-08-17",NA,-29.3675074448926,-57.9449944567592
"2010-08-18",NA,-28.4724860409893,-109.557806012838
"2010-08-19",NA,-47.750648232237,-205.145373542527
"2010-08-20",NA,-52.4620023940321,-225.236415726599
"2010-08-23",NA,-57.5865371635416,-189.829566446865
"2010-08-24",NA,-73.8942194922541,-272.943366481424
"2010-08-25",NA,-71.2749925276534,-323.786278140343
"2010-08-26",NA,-80.2487688723723,-281.706650910199
"2010-08-27",NA,-63.7654316668467,-240.412700437
"2010-08-30",NA,-80.3448308797426,NA
"2010-08-31",NA,-80.8667901218973,-221.242525920675
"2010-09-01",NA,-50.8610997926712,-84.6041271841643
"2010-09-02",NA,-42.0275168643984,-84.5854125978772
"2010-09-03",NA,-28.615777285458,-32.1442555599919
"2010-09-06",NA,NA,-25.8284945046226
"2010-09-07",NA,-42.3055996317488,-61.9759545787164
"2010-09-08",NA,-36.316690650578,-44.884450252703
"2010-09-09",NA,-32.0687396017785,14.6582296212829
"2010-09-10",NA,-27.7814207333499,17.2143147445105
"2010-09-13",NA,-16.5343950373352,76.1360287592781
"2010-09-14",NA,-18.4573120221048,73.0055881919814
"2010-09-15",NA,-15.62981436134,56.1051780975633
"2010-09-16",NA,-17.2015370992495,35.5969533533744
"2010-09-17",NA,-17.452108819284,-1.21695435489508
"2010-09-20",NA,-1.53115099440861,87.7155719441879
"2010-09-21",NA,-5.67827788369089,56.1766497248918
"2010-09-27",NA,-8.33985155356154,32.3778168052965
"2010-09-28",NA,-4.10152325731177,32.082525341304
"2010-09-29",NA,-8.38889660961535,17.5780266058853
"2010-09-30",NA,-13.2515628356705,-8.4236918726502
"2010-10-08",NA,2.40472531817049,68.2050500445514
"2010-10-11",NA,1.14680508908551,77.57785865598
"2010-10-12",NA,4.15699158124476,61.3489390604828
"2010-10-13",NA,11.0357137384467,141.690106362069
"2010-10-14",NA,5.28339878616952,116.133150305566
"2010-10-15",NA,6.19046938817591,86.8798020668145
"2010-10-18",NA,13.22734602424,120.621744816869
"2010-10-19",NA,-7.07555338470245,76.5906258141854
"2010-10-20",NA,3.69218361461492,96.2380424570225
"2010-10-21",NA,4.27097240018997,119.785560484169
"2010-10-22",NA,5.57122682382954,97.9247058534571
"2010-10-25",NA,6.58335897189387,103.176955008196
"2010-10-26",NA,5.0677786278749,53.1537439138222
"2010-10-27",NA,0.334892853853641,-13.4535341139417
"2010-10-28",NA,0.11510661716605,13.1064922692465
"2010-10-29",NA,-1.96117525329234,5.08519996888319
"2010-11-01",NA,-2.40354797619867,19.2739604727777
"2010-11-02",NA,5.21839404043789,76.8341431667011
"2010-11-03",NA,8.03505738212753,63.1471094694191
"2010-11-04",NA,29.5568464773194,171.764189039419
"2010-11-05",NA,32.7641624330824,179.146685432799
"2010-11-08",NA,28.5773941388752,148.605831205286
"2010-11-09",NA,17.13691694077,168.712784860488
"2010-11-10",NA,20.8530943720975,105.368643474383
"2010-11-11",NA,14.0862828824721,98.5944343838545
"2010-11-12",NA,-1.84316969831239,75.2011413706327
"2010-11-15",NA,-4.90492136318083,93.739707461434
"2010-11-16",NA,-25.9186293431523,-49.7389554020955
"2010-11-17",NA,-27.2739488417566,-44.0139740266147
"2010-11-18",NA,-10.7805243488019,27.235545341431
"2010-11-19",NA,-9.34798908014442,-13.5094853509812
"2010-11-22",NA,-12.8459717954028,-70.3381654148006
"2010-11-23",NA,-31.564097390114,-174.679588576659
"2010-11-24",NA,-15.5519854498076,-103.612819488351
"2010-11-25",NA,-17.1692425126849,-66.4968505961487
"2010-11-26",NA,-27.7154686883772,-101.400631516868
"2010-11-29",NA,-30.9602569894471,-223.783084380186
"2010-11-30",NA,-39.7731889719932,-251.053089400948
"2010-12-01",NA,-15.8538333943934,-141.36943429105
"2010-12-02",NA,-1.99174257438623,-20.8108029869917
"2010-12-03",NA,-0.406462276360453,-47.5058209890014
"2010-12-06",NA,-3.58753744142348,-26.9531051949107
"2010-12-07",NA,-4.54451284264984,6.85874713450243
"2010-12-08",NA,-1.59693177017148,-11.3688501203151
"2010-12-09",NA,1.54566436438554,-2.19448591399463
"2010-12-10",NA,7.37373480951588,-1.40674450167513
"2010-12-13",NA,5.86773817480485,42.2457907685616
"2010-12-14",NA,5.43813002180688,68.6145371300839
"2010-12-15",NA,-2.47463651338752,55.5508943535962
"2010-12-16",NA,3.61988945739287,50.5162338473263
"2010-12-17",NA,3.1221598452603,37.231904057013
"2010-12-20",NA,4.7626250649774,53.2392325469136
"2010-12-21",NA,10.7617342407565,109.639531491169
"2010-12-22",NA,13.4899345281153,137.604091057048
"2010-12-23",NA,9.91766863409451,146.524156090934
"2010-12-24",NA,NA,155.78091455972
"2010-12-27",NA,9.19537368957977,NA
"2010-12-28",NA,8.68348272584742,NA
"2010-12-29",NA,8.48242497319265,139.695493862691
"2010-12-30",NA,5.12262607251941,110.888957005703
"2010-12-31",NA,3.43450815843684,36.4323092501827
"2011-01-04",NA,13.134993938733,147.046510020442
"2011-01-05",NA,18.08442811979,173.792503680969
"2011-01-06",NA,13.9772002509049,146.271173813485
"2011-01-07",NA,10.2437093164873,107.993332160957
"2011-01-10",NA,7.12434852323978,76.9397300032059
"2011-01-11",NA,10.4995068436029,131.72107398018
"2011-01-12",NA,20.6395703050649,165.538038928184
"2011-01-13",NA,17.1149205950684,135.901245235252
"2011-01-14",NA,25.2859308694561,111.371244862552
"2011-01-17",NA,NA,92.3585335952895
"2011-01-18",NA,25.7729672094575,160.523561182162
"2011-01-19",NA,11.3963852441245,78.3067391946389
"2011-01-20",NA,8.47652994897587,-32.8915871498024
"2011-01-21",NA,10.3237415887537,-6.88110500256336
"2011-01-24",NA,16.5883569243181,38.4685120808555
"2011-01-25",NA,15.7207084491916,10.1575933897379
"2011-01-26",NA,19.9811217998232,59.5664523117154
"2011-01-27",NA,21.7199161143788,53.425398035564
"2011-01-28",NA,-2.63259772829572,-32.2152848720224
"2011-01-31",NA,6.01388217241814,-52.4953339282408
"2011-02-01",NA,26.3696588053867,40.6155266658288
"2011-02-09",NA,33.3956615398191,126.184757005124
"2011-02-10",NA,33.4143449164105,92.7087855443318
"2011-02-11",NA,39.7444192776464,134.485182390384
"2011-02-14",NA,41.9860872923218,130.643925535027
"2011-02-15",NA,36.7695352004314,106.684937379294
"2011-02-16",NA,44.1949318866652,154.008086321237
"2011-02-17",NA,47.442431036687,155.333196659539
"2011-02-18",NA,49.1821680677174,150.240029032507
"2011-02-21",NA,NA,81.4282798694103
"2011-02-22",NA,20.7942587861612,62.8475834965787
"2011-02-23",NA,11.9587986685725,-10.8424594186054
"2011-02-24",NA,9.88587459589731,-14.7722741877981
"2011-02-25",NA,22.9155685058758,66.1477183593261
"2011-02-28",NA,29.5279582497595,58.7371034995984
"2011-03-01",NA,7.93311220648092,0.345439166562578
"2011-03-02",NA,9.36108654925554,-20.5877409854564
"2011-03-03",NA,31.2319341720865,69.6270965550864
"2011-03-04",NA,20.7757040995109,55.0194938097718
"2011-03-07",NA,9.14243244597817,38.5789640189104
"2011-03-08",NA,20.2421467381615,39.8049976805927
"2011-03-09",NA,17.8748707235596,2.66706934532177
"2011-03-10",NA,-7.57938021756672,-88.9453628899473
"2011-03-11",NA,1.06940190626208,-105.092842030705
"2011-03-14",NA,-7.31877178042954,-157.975874316108
"2011-03-15",NA,-22.3138905952115,-237.314922544003
"2011-03-16",NA,-47.7559408303607,-333.670384211601
"2011-03-17",NA,-31.3448995544716,-235.022558719368
"2011-03-18",NA,-26.2707240957536,-212.161607542146
"2011-03-21",NA,-7.47335882568416,-143.287595005586
"2011-03-22",NA,-12.4427372565022,-165.680497736503
"2011-03-23",NA,-9.00878981123467,-131.450233132312
"2011-03-24",NA,2.79855823041224,-45.3266501047512
"2011-03-25",NA,6.64938531255985,-24.2295432294327
"2011-03-28",NA,2.77376872256259,-19.218688345461
"2011-03-29",NA,11.7817829991336,9.81614872314616
"2011-03-30",NA,20.3835015345407,27.3752100970684
"2011-03-31",NA,17.7589928508496,-10.6612661608652
"2011-04-01",NA,24.1683170443512,92.0769466961971
"2011-04-06",NA,26.9297643627553,128.471837591576
"2011-04-07",NA,24.8248473501776,96.5907268189927
"2011-04-08",NA,19.4339256013718,146.925054042162
"2011-04-11",NA,15.6970003990285,146.644839383299
"2011-04-12",NA,5.39406499259707,59.7800422317812
"2011-04-13",NA,5.6651061430387,107.930561359969
"2011-04-14",NA,5.82010838156868,63.5462708293812
"2011-04-15",NA,11.0490538977111,98.0870000875143
"2011-04-18",NA,-3.39807752478647,-25.4374476857349
"2011-04-19",NA,4.198689330503,3.83269014439396
"2011-04-20",NA,22.0793310847344,131.777186727527
"2011-04-21",NA,29.2638226234408,130.445813628909
"2011-04-22",NA,NA,NA
"2011-04-25",NA,27.3221297054871,NA
"2011-04-26",NA,39.5242059931824,184.208287942631
"2011-04-27",NA,48.1799938550477,185.784272841221
"2011-04-28",NA,53.2594193218296,190.373355353378
"2011-04-29",NA,56.6723885086288,NA
"2011-05-03",NA,50.3184710153902,206.275045711953
"2011-05-04",NA,41.3712831179275,110.458775456982
"2011-05-05",NA,29.5270391321163,49.4338908628448
"2011-05-06",NA,35.0255392659959,109.359692544595
"2011-05-09",NA,41.5365715223326,78.4854606834168
"2011-05-10",NA,52.8499094257356,157.960430255521
"2011-05-11",NA,38.2353093312053,118.41380379433
"2011-05-12",NA,45.2925057478326,90.7847185386494
"2011-05-13",NA,34.9212173796448,75.1722627802312
"2011-05-16",NA,27.1511442086382,76.5354872837683
"2011-05-17",NA,27.2119717817419,17.4534117407395
"2011-05-18",NA,39.4833744227789,83.6150242060042
"2011-05-19",NA,42.9950152071175,119.849305519792
"2011-05-20",NA,33.2765408894114,116.145201959412
"2011-05-23",NA,18.0075804518003,7.40161026122728
"2011-05-24",NA,17.5677491213078,33.8373791517051
"2011-05-25",NA,22.4266546813246,49.5413542980889
"2011-05-26",NA,28.333897653417,64.4223673801743
"2011-05-27",NA,34.4490692888705,126.389229599805
"2011-05-30",NA,35.1717491269399,NA
"2011-05-31",NA,50.0115024669507,181.650725528974
"2011-06-01",NA,20.1178800696842,124.465587495467
"2011-06-02",NA,19.2804120231352,48.0224727399269
"2011-06-03",NA,7.28862009946956,59.4099870540284
