"","T00C1_hpfc","SPX_hpfc","FTSE_hpfc","IH00C1_hpfc","IF00C1_hpfc"
"2010-04-19",NA,73.9519654041765,354.560056813976,NA,359.675438124568
"2010-04-20",NA,83.8668819315858,411.954833203139,NA,376.684058847599
"2010-04-21",NA,82.910178350221,353.328508496962,NA,429.092530895267
"2010-04-22",NA,85.9215705954638,296.878714724638,NA,397.900549886166
"2010-04-23",NA,94.8207403309837,356.862937863552,NA,382.7076340693
"2010-04-26",NA,89.8873337039429,388.73854117341,NA,380.913137217567
"2010-04-27",NA,61.8509576663996,240.092740401057,NA,299.916254907928
"2010-04-28",NA,69.8111820146004,224.872590604509,NA,289.916025263184
"2010-04-29",NA,85.5475509780991,257.795047597077,NA,244.511362432799
"2010-04-30",NA,65.7795799293174,194.936974238782,NA,267.501060726713
"2010-05-04",NA,53.3485106462661,54.4451268275446,NA,236.683813383491
"2010-05-05",NA,45.9842842898567,-13.0538189178367,NA,236.458203067655
"2010-05-06",NA,8.57346681536622,-92.3232097839579,NA,127.22271460812
"2010-05-07",NA,-8.35456377940488,-228.636387161504,NA,57.1757350914965
"2010-05-10",NA,40.8395669594194,37.4033457215482,NA,77.3155990156268
"2010-05-11",NA,37.2452369391514,-14.1872198536987,NA,-39.3593827557703
"2010-05-12",NA,53.4718071856745,36.6486919328153,NA,-5.0509313181581
"2010-05-13",NA,39.5886233291846,88.4978627655588,NA,53.039248502651
"2010-05-14",NA,18.1750088967842,-80.8429408200487,NA,20.7094539685725
"2010-05-17",NA,19.7802710512296,-79.64698887004,NA,-123.242039582655
"2010-05-18",NA,3.98370944245949,-33.3775180132939,NA,-63.6169653737868
"2010-05-19",NA,-1.42538445595362,-181.207731955824,NA,-79.6170056843062
"2010-05-20",NA,-44.5477208171431,-264.770820606695,NA,-108.443816496963
"2010-05-21",NA,-28.1140092250471,-273.629898970885,NA,-94.0990208840486
"2010-05-24",NA,-41.824940849371,-265.657972607865,NA,57.6158029084307
"2010-05-25",NA,-41.1211952386108,-393.347933969547,NA,-31.7008844687365
"2010-05-26",NA,-46.8834346525254,-294.762565695448,NA,-5.85064618080642
"2010-05-27",NA,-11.4623043530133,-136.544487830863,NA,55.3649677107233
"2010-05-28",NA,-24.8084302222587,-142.216198578214,NA,18.5444095629347
"2010-05-31",NA,NA,NA,NA,-55.313891152821
"2010-06-01",NA,-43.2124334043765,-166.340139697787,NA,-86.0115126308373
"2010-06-02",NA,-15.2549247886687,-177.378694163308,NA,-72.3500102006379
"2010-06-03",NA,-10.5264974021827,-116.644176190453,NA,-101.530903638104
"2010-06-04",NA,-48.2077379661742,-201.018826673556,NA,-89.3556828125448
"2010-06-07",NA,-62.3592288506649,-257.224838290762,NA,-145.025795624518
"2010-06-08",NA,-50.5815324985655,-297.474320627436,NA,-127.742653038548
"2010-06-09",NA,-56.6551855759459,-239.179276942289,NA,-64.307606071312
"2010-06-10",NA,-25.280703840514,-192.031587530317,NA,-84.5219529357297
"2010-06-11",NA,-20.3085796310365,-160.423033819211,NA,-89.3869652626367
"2010-06-17",NA,4.84682309511184,-69.3233090733131,NA,-112.103879744924
"2010-06-18",NA,6.46006410811477,-72.3648335015934,NA,-140.673896126481
"2010-06-21",NA,2.27812544916679,-24.1749429790589,NA,-53.8981678118586
"2010-06-22",NA,-15.4994648020932,-76.4750854235812,NA,-62.3777900567078
"2010-06-23",NA,-18.6731795077247,-145.196698760074,NA,-96.1138358374794
"2010-06-24",NA,-36.9434851229009,-223.841189302016,NA,-91.7073523459741
"2010-06-25",NA,-33.810840384074,-278.049903344061,NA,-110.359347044518
