"","IH00C1_hpft","SPX_hpft","FTSE_hpft"
"2010-04-19",NA,1123.56803459582,5373.34994318602
"2010-04-20",NA,1123.30311806841,5371.73516679686
"2010-04-21",NA,1123.02982164978,5370.10149150304
"2010-04-22",NA,1122.74842940454,5368.45128527536
"2010-04-23",NA,1122.45925966902,5366.78706213645
"2010-04-26",NA,1122.16266629606,5365.11145882659
"2010-04-27",NA,1121.8590423336,5363.42725959894
"2010-04-28",NA,1121.5488179854,5361.73740939549
"2010-04-29",NA,1121.2324490219,5360.04495240292
"2010-04-30",NA,1120.91042007068,5358.35302576122
"2010-05-04",NA,1120.25148935373,5356.66487317246
"2010-05-05",NA,1119.91571571014,5354.98381891784
"2010-05-06",NA,1119.57653318463,5353.31320978396
"2010-05-07",NA,1119.2345637794,5351.6563871615
"2010-05-10",NA,1118.89043304058,5350.01665427845
"2010-05-11",NA,1118.54476306085,5348.3972198537
"2010-05-12",NA,1118.19819281433,5346.80130806718
"2010-05-13",NA,1117.85137667082,5345.23213723444
"2010-05-14",NA,1117.50499110322,5343.69294082005
"2010-05-17",NA,1117.15972894877,5342.18698887004
"2010-05-18",NA,1116.81629055754,5340.71751801329
"2010-05-19",NA,1116.47538445595,5339.28773195582
"2010-05-20",NA,1116.13772081714,5337.90082060669
"2010-05-21",NA,1115.80400922505,5336.55989897089
"2010-05-24",NA,1115.47494084937,5335.26797260786
"2010-05-25",NA,1115.15119523861,5334.02793396955
"2010-05-26",NA,1114.83343465253,5332.84256569545
"2010-05-27",NA,1114.52230435301,5331.71448783086
"2010-05-28",NA,1114.21843022226,5330.64619857821
"2010-05-31",NA,NA,NA
"2010-06-01",NA,1113.92243340438,5329.64013969779
"2010-06-02",NA,1113.63492478867,5328.69869416331
"2010-06-03",NA,1113.35649740218,5327.82417619045
"2010-06-04",NA,1113.08773796617,5327.01882667356
"2010-06-07",NA,1112.82922885067,5326.28483829076
"2010-06-08",NA,1112.58153249857,5325.62432062744
"2010-06-09",NA,1112.34518557595,5325.03927694229
"2010-06-10",NA,1112.12070384051,5324.53158753032
"2010-06-11",NA,1111.90857963104,5324.10303381921
"2010-06-17",NA,1111.19317690489,5323.21330907331
"2010-06-18",NA,1111.04993589189,5323.20483350159
"2010-06-21",NA,1110.92187455083,5323.28494297906
"2010-06-22",NA,1110.80946480209,5323.45508542358
"2010-06-23",NA,1110.71317950772,5323.71669876007
"2010-06-24",NA,1110.6334851229,5324.07118930202
"2010-06-25",NA,1110.57084038407,5324.51990334406
"2010-06-28",NA,1110.52568875677,5325.06409465399
"2010-06-29",NA,1110.49845973043,5325.70490206512
"2010-06-30",NA,1110.48956793193,5326.44335967181
"2010-07-01",NA,1110.4993993594,5327.28033147733
"2010-07-02",NA,1110.52830703328,5328.21651218327
"2010-07-05",NA,NA,5329.25238091197
"2010-07-06",NA,1110.57660961175,5330.38821418703
"2010-07-07",NA,1110.64458939868,5331.62407948687
"2010-07-08",NA,1110.73249458885,5332.95989325302
"2010-07-09",NA,1110.84055255425,5334.39544097323
"2010-07-12",NA,1110.96897393304,5335.93041409131
"2010-07-13",NA,1111.11795577184,5337.56442077789
"2010-07-14",NA,1111.28768179927,5339.29699938259
"2010-07-15",NA,1111.47832922196,5341.12766074827
"2010-07-16",NA,1111.69006858413,5343.05588026124
"2010-07-19",NA,1111.92306423036,5345.081079638
"2010-07-20",NA,1112.17746115571,5347.20260445154
"2010-07-21",NA,1112.45338754272,5349.41971892534
"2010-07-22",NA,1112.75095971156,5351.73160141074
"2010-07-23",NA,1113.07027626438,5354.13737454626
"2010-07-26",NA,1113.41142791604,5356.63614529514
"2010-07-27",NA,1113.77450107819,5359.22700345928
"2010-07-28",NA,1114.15958282322,5361.90903655995
"2010-07-29",NA,1114.5667602507,5364.68133478216
"2010-07-30",NA,1114.99611714098,5367.54297085495
"2010-08-02",NA,1115.44773188566,5370.49299653685
"2010-08-03",NA,1115.92167733881,5373.5304183144
"2010-08-04",NA,1116.41803065858,5376.65425367625
"2010-08-05",NA,1116.93687087905,5379.86352959767
"2010-08-06",NA,1117.47828150769,5383.15727698319
"2010-08-09",NA,1118.04234971976,5386.53452091564
"2010-08-10",NA,1118.62916441081,5389.99426549281
"2010-08-11",NA,1119.23881850564,5393.53552472711
"2010-08-12",NA,1119.87140593389,5397.15730701579
"2010-08-13",NA,1120.52700831996,5400.85855944406
"2010-08-16",NA,1121.20569229926,5404.63817490699
"2010-08-17",NA,1121.90750744489,5408.49499445676
"2010-08-18",NA,1122.63248604099,5412.42780601284
"2010-08-19",NA,1123.38064823224,5416.43537354253
"2010-08-20",NA,1124.15200239403,5420.5164157266
"2010-08-23",NA,1124.94653716354,5424.66956644687
"2010-08-24",NA,1125.76421949225,5428.89336648142
"2010-08-25",NA,1126.60499252765,5433.18627814034
"2010-08-26",NA,1127.46876887237,5437.5466509102
"2010-08-27",NA,1128.35543166685,5441.972700437
"2010-08-30",NA,1129.26483087974,NA
"2010-08-31",NA,1130.1967901219,5446.46252592068
"2010-09-01",NA,1131.15109979267,5451.01412718416
"2010-09-02",NA,1132.1275168644,5455.62541259788
"2010-09-03",NA,1133.12577728546,5460.29425555999
"2010-09-06",NA,NA,5465.01849450462
"2010-09-07",NA,1134.14559963175,5469.79595457872
"2010-09-08",NA,1135.18669065058,5474.6244502527
"2010-09-09",NA,1136.24873960178,5479.50177037872
"2010-09-10",NA,1137.33142073335,5484.42568525549
"2010-09-13",NA,1138.43439503734,5489.39397124072
"2010-09-14",NA,1139.5573120221,5494.40441180802
"2010-09-15",NA,1140.69981436134,5499.45482190244
"2010-09-16",NA,1141.86153709925,5504.54304664663
"2010-09-17",NA,1143.04210881928,5509.6669543549
"2010-09-20",NA,1144.24115099441,5514.82442805581
"2010-09-21",NA,1145.45827788369,5520.01335027511
"2010-09-27",NA,1150.49985155356,5541.0421831947
"2010-09-28",NA,1151.80152325731,5546.3574746587
"2010-09-29",NA,1153.11889660962,5551.69197339411
"2010-09-30",NA,1154.45156283567,5557.04369187265
"2010-10-08",NA,1162.74527468183,5589.40494995545
"2010-10-11",NA,1164.17319491091,5594.82214134402
"2010-10-12",NA,1165.61300841876,5600.24106093952
"2010-10-13",NA,1167.06428626155,5605.65989363793
"2010-10-14",NA,1168.52660121383,5611.07684969443
"2010-10-15",NA,1169.99953061182,5616.49019793319
"2010-10-18",NA,1171.48265397576,5621.89825518313
"2010-10-19",NA,1172.9755533847,5627.29937418581
"2010-10-20",NA,1174.47781638539,5632.69195754298
"2010-10-21",NA,1175.98902759981,5638.07443951583
"2010-10-22",NA,1177.50877317617,5643.44529414654
"2010-10-25",NA,1179.03664102811,5648.8030449918
"2010-10-26",NA,1180.57222137213,5654.14625608618
