"","IH00C1_hpft","T00C1_hpft","TF00C1_hpft","TY00Y_hpft"
"2010-04-19",NA,NA,NA,NA
"2010-04-20",NA,NA,NA,NA
"2010-04-21",NA,NA,NA,NA
"2010-04-22",NA,NA,NA,NA
"2010-04-23",NA,NA,NA,NA
"2010-04-26",NA,NA,NA,NA
"2010-04-27",NA,NA,NA,NA
"2010-04-28",NA,NA,NA,NA
"2010-04-29",NA,NA,NA,NA
"2010-04-30",NA,NA,NA,NA
"2010-05-04",NA,NA,NA,NA
"2010-05-05",NA,NA,NA,NA
"2010-05-06",NA,NA,NA,NA
"2010-05-07",NA,NA,NA,NA
"2010-05-10",NA,NA,NA,NA
"2010-05-11",NA,NA,NA,NA
"2010-05-12",NA,NA,NA,NA
"2010-05-13",NA,NA,NA,NA
"2010-05-14",NA,NA,NA,NA
"2010-05-17",NA,NA,NA,NA
"2010-05-18",NA,NA,NA,NA
"2010-05-19",NA,NA,NA,NA
"2010-05-20",NA,NA,NA,NA
"2010-05-21",NA,NA,NA,NA
"2010-05-24",NA,NA,NA,NA
"2010-05-25",NA,NA,NA,NA
"2010-05-26",NA,NA,NA,NA
"2010-05-27",NA,NA,NA,NA
"2010-05-28",NA,NA,NA,NA
"2010-05-31",NA,NA,NA,NA
"2010-06-01",NA,NA,NA,NA
"2010-06-02",NA,NA,NA,NA
"2010-06-03",NA,NA,NA,NA
"2010-06-04",NA,NA,NA,NA
"2010-06-07",NA,NA,NA,NA
"2010-06-08",NA,NA,NA,NA
"2010-06-09",NA,NA,NA,NA
"2010-06-10",NA,NA,NA,NA
"2010-06-11",NA,NA,NA,NA
"2010-06-17",NA,NA,NA,NA
"2010-06-18",NA,NA,NA,NA
"2010-06-21",NA,NA,NA,NA
"2010-06-22",NA,NA,NA,NA
"2010-06-23",NA,NA,NA,NA
"2010-06-24",NA,NA,NA,NA
"2010-06-25",NA,NA,NA,NA
"2010-06-28",NA,NA,NA,NA
"2010-06-29",NA,NA,NA,NA
"2010-06-30",NA,NA,NA,NA
"2010-07-01",NA,NA,NA,NA
"2010-07-02",NA,NA,NA,NA
"2010-07-05",NA,NA,NA,NA
"2010-07-06",NA,NA,NA,NA
"2010-07-07",NA,NA,NA,NA
"2010-07-08",NA,NA,NA,NA
"2010-07-09",NA,NA,NA,NA
"2010-07-12",NA,NA,NA,NA
"2010-07-13",NA,NA,NA,NA
"2010-07-14",NA,NA,NA,NA
"2010-07-15",NA,NA,NA,NA
"2010-07-16",NA,NA,NA,NA
"2010-07-19",NA,NA,NA,NA
"2010-07-20",NA,NA,NA,NA
"2010-07-21",NA,NA,NA,NA
"2010-07-22",NA,NA,NA,NA
"2010-07-23",NA,NA,NA,NA
"2010-07-26",NA,NA,NA,NA
"2010-07-27",NA,NA,NA,NA
"2010-07-28",NA,NA,NA,NA
"2010-07-29",NA,NA,NA,NA
"2010-07-30",NA,NA,NA,NA
"2010-08-02",NA,NA,NA,NA
"2010-08-03",NA,NA,NA,NA
"2010-08-04",NA,NA,NA,NA
"2010-08-05",NA,NA,NA,NA
"2010-08-06",NA,NA,NA,NA
"2010-08-09",NA,NA,NA,NA
"2010-08-10",NA,NA,NA,NA
"2010-08-11",NA,NA,NA,NA
"2010-08-12",NA,NA,NA,NA
