"","V0_hpft","CN_10yry_hpft","US_10yry_hpft","UK_10yry_hpft","GR_10yry_hpft","IT_10yry_hpft","AU_10yry_hpft","INA_10yry_hpft","IND_10yry_hpft"
"2010-04-19",7475.00096213258,NA,3.51469713902129,3.88552374649289,3.18435863966218,3.97437831547169,5.51205060837521,1.28216073311589,8.30222817690471
"2010-04-20",7473.11146864303,NA,3.50768906063907,3.8799049555468,3.17748085897704,3.97358625131008,5.50817860395257,1.2800421968748,8.30223312356904
"2010-04-21",7471.22269855524,NA,3.50061041664376,3.87422957123178,3.17059226963978,3.97280514306371,5.50425282544101,1.27790061605433,8.30223806979868
"2010-04-22",7469.3368876526,NA,3.49346216101513,3.86849823350249,3.16369390225825,3.97203441337947,5.50027408470719,1.27573620850796,8.30224301375172
"2010-04-23",7467.45645515817,NA,3.48624537975559,3.8627116737365,3.15678686573375,3.9712734490225,5.49624334273602,1.27354921569161,8.30224795348781
"2010-04-26",7465.58397971264,NA,3.47896127317749,3.85687072053426,3.14987235424628,3.97052161483563,5.49216169060768,1.27133990562542,8.3022528869662
"2010-04-27",7463.72221255241,NA,3.4716111712865,3.85097631248659,3.14295163770879,3.96977827017502,5.48803034289615,1.26910856759714,8.30225781204359
"2010-04-28",7461.87408035039,NA,3.46419655332731,3.84502949951406,3.13602606875893,3.96904276591398,5.48385063832325,1.26685551307549,8.30226272647219
"2010-04-29",7460.04263638244,NA,3.45671904668804,3.83903142943079,3.12909706495181,3.96831445467093,5.47962404043297,1.26458107787252,8.30226762789761
"2010-04-30",7458.23104475689,NA,3.4491803803621,3.83298337429452,3.1221661116228,3.96759271591501,5.47535211865098,1.26228561522104,8.30227251385688
"2010-05-04",7456.44257497111,NA,3.43392718069859,3.82074293301128,3.1083044760828,3.96616672595227,5.46667913549329,1.25763307770915,8.30228222896992
"2010-05-05",7454.68061506133,NA,3.42621674879139,3.8145535929986,3.10137700935029,3.9654614086625,5.46228176232889,1.25527676813436,8.30228705263653
"2010-05-06",7452.94866614138,NA,3.41845334982903,3.80832036025952,3.09445402564908,3.96476051740242,5.45784645561444,1.25290096226218,8.30229184985865
"2010-05-07",7451.25033693068,NA,3.41063928835637,3.80204496039088,3.08753727644409,3.96406356002564,5.45337531388713,1.25050607388431,8.30229661760007
"2010-05-10",7449.58933000248,NA,3.40277693569532,3.79572916779908,3.0806285278935,3.96337007383328,5.44887047791039,1.24809252933759,8.30230135270392
"2010-05-11",7447.96945902045,NA,3.39486866290355,3.78937479308221,3.07372955957428,3.9626796824924,5.44433409614631,1.24566076756379,8.30230605189071
"2010-05-12",7446.3946514918,NA,3.38691686055864,3.78298367390137,3.06684210120042,3.96199213559181,5.43976839192854,1.24321124441417,8.30231071175642
"2010-05-13",7444.86891430154,NA,3.37892399163055,3.77655767310156,3.05996793881462,3.96130719938714,5.43517561490782,1.24074444357535,8.30231532877048
"2010-05-14",7443.39629302723,NA,3.37089259063492,3.77009869590407,3.05310888456653,3.96062464055061,5.43055803467177,1.23826088130198,8.30231989927392
"2010-05-17",7441.98087877044,NA,3.36282526693673,3.76360872769805,3.04626680848941,3.95994422149387,5.42591795463098,1.23576110288961,8.3023244194774
"2010-05-18",7440.62677362931,NA,3.35472470393684,3.7570898222016,3.03944363720187,3.95926568204893,5.42125771516774,1.23324568452793,8.30232888545934
"2010-05-19",7439.33796934321,NA,3.34659361693718,3.75054409033823,3.0326413319343,3.95858874346967,5.41657965835168,1.23071522730692,8.3023332931641
"2010-05-20",7438.11839332148,NA,3.33843476888971,3.74397370202206,3.02586188308241,3.95791310705889,5.41188614970743,1.22817035660328,8.30233763840005
"2010-05-21",7436.97191330994,NA,3.33025093655524,3.73738085715891,3.01910731301879,3.95723845196794,5.40717956030705,1.22561172808665,8.3023419168378
"2010-05-24",7435.90237096363,NA,3.32204490560886,3.73076778364995,3.01237964169298,3.95656443547602,5.4024622811109,1.2230400229846,8.30234612400841
"2010-05-25",7434.91357405399,NA,3.31381942855306,3.72413674247302,3.00568089355712,3.95589072055083,5.39773670755209,1.22045593880617,8.30235025530159
"2010-05-26",7434.00935064735,NA,3.305577207442,3.71748999424727,2.99901305487735,3.95521696744655,5.39300521875164,1.21786018255118,8.30235430596398
"2010-05-27",7433.19352057859,NA,3.2973209096821,3.7108297607208,2.99237806410198,3.9545428207549,5.38827015425681,1.21525347549857,8.30235827109744
"2010-05-28",7432.46990615865,NA,3.28905315077131,3.70415822024312,2.98577778154889,3.95386792993821,5.38353383294475,1.21263654187857,8.30236214565737
"2010-05-31",7431.84236558111,NA,3.28077651011261,3.69747751080752,2.97921401694979,3.95319196903602,5.37879855869998,1.21001011201703,8.30236592445108
"2010-06-01",7431.31479322089,NA,3.27249358816836,3.69078970164148,2.97268854457924,3.95251467207965,5.37406665792114,1.20737493540462,8.30236960213617
"2010-06-02",7430.8910971587,NA,3.26420699748074,3.68409683494802,2.96620311423518,3.95183585155939,5.36934046039702,1.20473178219582,8.30237317321902
"2010-06-03",7430.57512086131,NA,3.25591936196197,3.67740095272779,2.95975944153556,3.95115540366486,5.36462228100791,1.20208144843176,8.30237663205318
"2010-06-04",7430.37062888868,NA,3.24763331618605,3.67070409297311,2.95335918166356,3.9504733275801,5.35991442374598,1.19942474431868,8.30237997283798
"2010-06-07",7430.28132769251,NA,3.23935153361614,3.66400829218783,2.94700395269965,3.94978975221988,5.35521921466764,1.19676250689757,8.30238318961706
"2010-06-08",7430.31086156749,NA,3.23107674656408,3.65731558790751,2.94069536720205,3.94910494601895,5.35053900962655,1.19409561271634,8.30238627627698
"2010-06-09",7430.46267007913,NA,3.22281167107531,3.65062800985179,2.93443502243305,3.94841930564048,5.3458761457846,1.1914249694231,8.30238922654592
"2010-06-10",7430.74006245555,NA,3.21455899794868,3.64394759967993,2.92822446163073,3.94773338271419,5.34123295181367,1.18875150074743,8.30239203399238
"2010-06-11",7431.14623819366,NA,3.20632140028636,3.63727638473742,2.92206515592881,3.94704787295902,5.33661173948905,1.18607614843111,8.30239469202397
"2010-06-17",7431.68428281066,NA,3.17357572371873,3.61072332420661,2.89796814221409,3.94432606865243,5.31839345957065,1.17537517860208,8.30240369245955
"2010-06-18",7432.35716974241,NA,3.165454293677,3.60412789550883,2.89208568538618,3.94365504850592,5.31391746126674,1.17270504154509,8.30240549882214
"2010-06-21",7433.16776838889,NA,3.15736453239972,3.59755355964464,2.8862626370935,3.94298970733435,5.30947778316387,1.17003903376,8.30240711277634
"2010-06-22",7434.11881490057,NA,3.14930932808488,3.59100232490398,2.88050036508149,3.94233106459636,5.30507691394777,1.16737824411172,8.30240852657468
"2010-06-23",7435.21299244852,NA,3.14129160308875,3.5844762216281,2.87480025930868,3.9416801558759,5.30071740121708,1.16472377798339,8.30240973230143
"2010-06-24",7436.45290189585,NA,3.13331432552265,3.57797728718444,2.86916376326332,3.94103802654065,5.29640183470143,1.16207676788354,8.30241072187197
"2010-06-25",7437.84104274468,NA,3.12538047949841,3.57150758953889,2.86359235565202,3.94040575185247,5.29213282160839,1.15943835842234,8.30241148703234
"2010-06-28",7439.37981882365,NA,3.11749304775772,3.56506921766538,2.85808753619484,3.93978445583391,5.28791298716714,1.15680969955189,8.30241201935877
"2010-06-29",7441.07152118019,NA,3.10965501908558,3.55866426586706,2.85265080726072,3.93917529995558,5.28374493712411,1.15419193525605,8.30241231025742
"2010-06-30",7442.91831917641,NA,3.10186938330323,3.55229482916254,2.84728367614256,3.93857950240744,5.27963125659376,1.15158620670386,8.30241235096414
"2010-07-01",7444.92222672201,NA,3.09413910557276,3.54596298700149,2.84198766143835,3.93799835695185,5.27557448036605,1.14899365994525,8.30241213254434
"2010-07-02",7447.08509531057,NA,3.08646709654704,3.53967080540156,2.83676425393376,3.9374332331698,5.27157707228551,1.14641542260011,8.30241164589298
"2010-07-05",7449.40858425443,NA,3.07885621556446,3.53342033836684,2.8316149353256,3.9368855643004,5.26764141039354,1.14385259790267,8.30241088173465
"2010-07-06",7451.89418459377,NA,3.07130926968729,3.52721363594534,2.82654117624739,3.93635684292744,5.26376980594226,1.14130625750007,8.30240983062381
"2010-07-07",7454.54321400263,NA,3.06382903338181,3.52105272887281,2.8215444218638,3.93584859599098,5.25996448642008,1.1387774582195,8.30240848294506
"2010-07-08",7457.3567950922,NA,3.05641824130376,3.51493961315704,2.8166260939672,3.93536238335229,5.25622758888455,1.13626724394736,8.30240682891359
"2010-07-09",7460.33583158236,NA,3.04907958105667,3.50887627060579,2.8117876054447,3.93489981949868,5.25256115822883,1.13377665948876,8.30240485857575
"2010-07-12",7463.48100300415,NA,3.04181571692285,3.50286465572867,2.80703035817708,3.93446258201181,5.24896718634168,1.13130674829826,8.30240256180971
"2010-07-13",7466.79277586951,NA,3.03462930943184,3.49690670928033,2.80235575330614,3.93405239605103,5.24544761445035,1.12885856218995,8.30239992832631
"2010-07-14",7470.27139823732,NA,3.02752303076289,3.4910043646307,2.7977652138693,3.93367102254679,5.24200433667244,1.12643316855879,8.30239694766996
"2010-07-15",7473.91688594469,NA,3.02049957185011,3.48515955411372,2.79326016193029,3.9333202575435,5.23863919733742,1.12403163113791,8.30239360921977
"2010-07-16",7477.72902736844,NA,3.01356167425451,3.47937419534581,2.78884203701091,3.93300195302513,5.23535401431781,1.12165501720173,8.30238990219077
"2010-07-19",7481.70735091619,NA,3.00671209999857,3.47365019699037,2.78451230622051,3.93271803896827,5.23215057008651,1.11930440351878,8.30238581563528
"2010-07-20",7485.85111931717,NA,2.999953605499,3.46798947636046,2.78027246608251,3.93247052554047,5.22903059819359,1.11698086328005,8.30238133844447
"2010-07-21",7490.15933831203,NA,2.99328892786355,3.46239397261536,2.77612404845719,3.93226147552254,5.22599578459053,1.11468546004334,8.30237645934999
"2010-07-22",7494.63079834207,NA,2.98672080008561,3.4568656416596,2.77206859335948,3.93209300069065,5.22304780860231,1.11241924848716,8.30237116692589
"2010-07-23",7499.26406863606,NA,2.98025194966553,3.45140644353374,2.76810766307459,3.93196724040798,5.22018833591486,1.11018327515286,8.30236544959062
