"","T00C1_hpft","SPX_hpft","FTSE_hpft","IH00C1_hpft","IF00C1_hpft"
"2010-04-19",NA,1123.56803459582,5373.34994318602,NA,2837.72456187543
"2010-04-20",NA,1123.30311806841,5371.73516679686,NA,2837.9159411524
"2010-04-21",NA,1123.02982164978,5370.10149150304,NA,2838.10746910473
"2010-04-22",NA,1122.74842940454,5368.45128527536,NA,2838.29945011383
"2010-04-23",NA,1122.45925966902,5366.78706213645,NA,2838.4923659307
"2010-04-26",NA,1122.16266629606,5365.11145882659,NA,2838.68686278243
"2010-04-27",NA,1121.8590423336,5363.42725959894,NA,2838.88374509207
"2010-04-28",NA,1121.5488179854,5361.73740939549,NA,2839.08397473682
"2010-04-29",NA,1121.2324490219,5360.04495240292,NA,2839.2886375672
"2010-04-30",NA,1120.91042007068,5358.35302576122,NA,2839.49893927329
"2010-05-04",NA,1120.25148935373,5356.66487317246,NA,2839.71618661651
"2010-05-05",NA,1119.91571571014,5354.98381891784,NA,2839.94179693234
"2010-05-06",NA,1119.57653318463,5353.31320978396,NA,2840.17728539188
"2010-05-07",NA,1119.2345637794,5351.6563871615,NA,2840.4242649085
"2010-05-10",NA,1118.89043304058,5350.01665427845,NA,2840.68440098437
"2010-05-11",NA,1118.54476306085,5348.3972198537,NA,2840.95938275577
"2010-05-12",NA,1118.19819281433,5346.80130806718,NA,2841.25093131816
"2010-05-13",NA,1117.85137667082,5345.23213723444,NA,2841.56075149735
"2010-05-14",NA,1117.50499110322,5343.69294082005,NA,2841.89054603143
"2010-05-17",NA,1117.15972894877,5342.18698887004,NA,2842.24203958265
"2010-05-18",NA,1116.81629055754,5340.71751801329,NA,2842.61696537379
"2010-05-19",NA,1116.47538445595,5339.28773195582,NA,2843.01700568431
"2010-05-20",NA,1116.13772081714,5337.90082060669,NA,2843.44381649696
"2010-05-21",NA,1115.80400922505,5336.55989897089,NA,2843.89902088405
"2010-05-24",NA,1115.47494084937,5335.26797260786,NA,2844.38419709157
"2010-05-25",NA,1115.15119523861,5334.02793396955,NA,2844.90088446874
"2010-05-26",NA,1114.83343465253,5332.84256569545,NA,2845.45064618081
"2010-05-27",NA,1114.52230435301,5331.71448783086,NA,2846.03503228928
"2010-05-28",NA,1114.21843022226,5330.64619857821,NA,2846.65559043707
"2010-05-31",NA,NA,NA,NA,2847.31389115282
"2010-06-01",NA,1113.92243340438,5329.64013969779,NA,2848.01151263084
"2010-06-02",NA,1113.63492478867,5328.69869416331,NA,2848.75001020064
"2010-06-03",NA,1113.35649740218,5327.82417619045,NA,2849.5309036381
"2010-06-04",NA,1113.08773796617,5327.01882667356,NA,2850.35568281254
"2010-06-07",NA,1112.82922885067,5326.28483829076,NA,2851.22579562452
"2010-06-08",NA,1112.58153249857,5325.62432062744,NA,2852.14265303855
"2010-06-09",NA,1112.34518557595,5325.03927694229,NA,2853.10760607131
"2010-06-10",NA,1112.12070384051,5324.53158753032,NA,2854.12195293573
"2010-06-11",NA,1111.90857963104,5324.10303381921,NA,2855.18696526264
"2010-06-17",NA,1111.19317690489,5323.21330907331,NA,2856.30387974492
"2010-06-18",NA,1111.04993589189,5323.20483350159,NA,2857.47389612648
"2010-06-21",NA,1110.92187455083,5323.28494297906,NA,2858.69816781186
"2010-06-22",NA,1110.80946480209,5323.45508542358,NA,2859.97779005671
"2010-06-23",NA,1110.71317950772,5323.71669876007,NA,2861.31383583748
"2010-06-24",NA,1110.6334851229,5324.07118930202,NA,2862.70735234597
"2010-06-25",NA,1110.57084038407,5324.51990334406,NA,2864.15934704452
"2010-06-28",NA,1110.52568875677,5325.06409465399,NA,2865.67078948726
"2010-06-29",NA,1110.49845973043,5325.70490206512,NA,2867.24260361023
"2010-06-30",NA,1110.48956793193,5326.44335967181,NA,2868.87566206358
"2010-07-01",NA,1110.4993993594,5327.28033147733,NA,2870.57072719549
"2010-07-02",NA,1110.52830703328,5328.21651218327,NA,2872.32844153108
"2010-07-05",NA,NA,5329.25238091197,NA,2874.14931310059
"2010-07-06",NA,1110.57660961175,5330.38821418703,NA,2876.03371504283
"2010-07-07",NA,1110.64458939868,5331.62407948687,NA,2877.98187848731
"2010-07-08",NA,1110.73249458885,5332.95989325302,NA,2879.99390582946
