"","FG0_hpft","CU0_hpft","RB0_hpft","CL00Y_hpft","CU0_hpft","RB0_hpft","CL00Y_hpft","AL0_hpft","I0_hpft","CF0_hpft","FG0_hpft","SA0_hpft","P0_hpft","Y0_hpft","I0_hpft","V0_hpft","TA0_hpft"
"2010-04-19",NA,57037.5771953858,4397.66126773552,77.8415595245629,57037.5771953858,4397.66126773552,77.8415595245629,16061.6726382502,NA,16354.8068291743,NA,NA,6703.72473793672,7518.20963575734,NA,7475.00096213258,7913.27226427937
"2010-04-20",NA,57001.9093734459,4395.81967634208,77.8100048059034,57001.9093734459,4395.81967634208,77.8100048059034,16044.3661223211,NA,16366.3667265408,NA,NA,6703.18784341469,7521.19165045532,NA,7473.11146864303,7906.56388179281
"2010-04-21",NA,56966.554249355,4393.93926501755,77.7781229153828,56966.554249355,4393.93926501755,77.7781229153828,16027.1958730835,NA,16378.3054346701,NA,NA,6702.75292162606,7524.25580339725,NA,7471.22269855524,7899.90068460982
"2010-04-22",NA,56931.5495757084,4392.02206272282,77.7459528860053,56931.5495757084,4392.02206272282,77.7459528860053,16010.1686739317,NA,16390.6373122566,NA,NA,6702.4237345986,7527.40424773256,NA,7469.3368876526,7893.28817488089
"2010-04-23",NA,56896.9347434313,4390.0702493203,77.7135361903746,56896.9347434313,4390.0702493203,77.7135361903746,15993.2915822366,NA,16403.3770411139,NA,NA,6702.20413581427,7530.63918693451,NA,7467.45645515817,7886.73212430813
"2010-04-26",NA,56862.7506846397,4388.08614603228,77.6809167622579,56862.7506846397,4388.08614603228,77.6809167622579,15976.5719074489,NA,16416.5395921458,NA,NA,6702.09806290557,7533.96287101932,NA,7465.58397971264,7880.23856282438
"2010-04-27",NA,56829.0398621479,4386.07221872792,77.6481415969569,56829.0398621479,4386.07221872792,77.6481415969569,15960.0171891398,NA,16430.1402283449,NA,NA,6702.10956172077,7537.37762083673,NA,7463.72221255241,7873.81379122392
"2010-04-28",NA,56795.8466349534,4384.03107626332,77.6152603845002,56795.8466349534,4384.03107626332,77.6152603845002,15943.6352287146,NA,16444.1945034863,NA,NA,6702.24280124877,7540.88592590248,NA,7461.87408035039,7867.46438880684
"2010-04-29",NA,56763.2168918837,4381.96544816572,77.5823247956778,56763.2168918837,4381.96544816572,77.5823247956778,15927.434028051,NA,16458.7182668391,NA,NA,6702.50208436191,7544.49044629396,NA,7460.04263638244,7861.19718461962
"2010-04-30",NA,56731.1971435232,4379.87814827497,77.5493888180539,56731.1971435232,4379.87814827497,77.5493888180539,15911.4216453941,NA,16473.7276821583,NA,NA,6702.89182295925,7548.19397647773,NA,7458.23104475689,7855.01924023823
"2010-05-04",NA,56699.8347547805,4377.77207353044,77.4837477475637,56699.8347547805,4377.77207353044,77.4837477475637,15895.6062227222,NA,16489.2391100768,NA,NA,6703.41651719105,7551.99942893825,NA,7456.44257497111,7848.93783417106
"2010-05-05",NA,56669.1779209218,4375.65022632871,77.4511675982713,56669.1779209218,4375.65022632871,77.4511675982713,15879.9960254336,NA,16505.2691018966,NA,NA,6704.08076935236,7555.90984835504,NA,7454.68061506133,7842.9604701998
"2010-05-06",NA,56639.275449055,4373.51572779477,77.4188355649002,56639.275449055,4373.51572779477,77.4188355649002,15864.5993972136,NA,16521.8343580451,NA,NA,6704.88926713116,7559.92839349522,NA,7452.94866614138,7837.09485922479
"2010-05-07",NA,56610.1762334321,4371.37181369891,77.3868191257814,56610.1762334321,4371.37181369891,77.3868191257814,15849.4246941512,NA,16538.9516697769,NA,NA,6705.84678912165,7564.05835047802,NA,7451.25033693068,7831.34889445454
"2010-05-10",NA,56581.928916457,4369.22182872517,77.3551856315844,56581.928916457,4369.22182872517,77.3551856315844,15834.4802456318,NA,16556.6378937254,NA,NA,6706.9581788609,7568.30309225767,NA,7449.58933000248,7825.73062158806
"2010-05-11",NA,56554.5812848054,4367.06918932853,77.3240014918338,56554.5812848054,4367.06918932853,77.3240014918338,15819.7742262691,NA,16574.9098890254,NA,NA,6708.2282791232,7572.66601491258,NA,7447.96945902045,7820.248170919
