"","AU0_60Close","AU0_60_hpft","AU0_60_hpfc","PG0_60Close","PG0_60_hpft","PG0_60_hpfc","EB0_60Close","EB0_60_hpft","EB0_60_hpfc","FU0_60Close","FU0_60_hpft","FU0_60_hpfc","TA0_60Close","TA0_60_hpft","TA0_60_hpfc","PP0_60Close","PP0_60_hpft","PP0_60_hpfc","L0_60Close","L0_60_hpft","L0_60_hpfc","V0_60Close","V0_60_hpft","V0_60_hpfc","LUM_60Close","LUM_60_hpft","LUM_60_hpfc","RU0_60Close","RU0_60_hpft","RU0_60_hpfc"
"2021-12-01 00:00:00",368.62,366.653741310021,1.96625868997865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-01 01:00:00",366.54,366.662856648134,-0.122856648134364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-01 02:00:00",366.36,366.67197279902,-0.31197279901968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-01 02:30:00",366.32,366.681090524666,-0.36109052466556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-01 10:00:00",366.44,366.690210458103,-0.250210458103234,4327,4258.91734726419,68.0826527358068,7636,7830.95838325217,-194.958383252174,2559,2498.33336017177,60.6666398282292,4468,4444.93219922705,23.0678007729504,8011,8018.90536478385,-7.90536478384734,8415,8477.59009923569,-62.5900992356928,8586,8436.2072186028,149.792781397197,3259,3336.69756040382,-77.6975604038164,15055,14774.3039126214,280.696087378614
"2021-12-01 10:15:00",367.28,366.699333083104,0.580666916896274,4322,4260.59064199185,61.4093580081548,7651,7833.99815470772,-182.998154707721,2560,2500.56622189795,59.4337781020496,4474,4448.32681150821,25.6731884917865,8009,8019.07156248654,-10.0715624865418,8415,8477.22237818711,-62.222378187112,8624,8434.26010854075,189.739891459252,NA,NA,NA,15065,14770.999124524,294.000875476043
"2021-12-01 11:30:00",368.78,366.708458780011,2.07154121998899,4330,4262.26396486213,67.736035137872,7696,7837.03784557531,-141.037845575311,2557,2502.79910870128,54.2008912987207,4506,4451.72143332468,54.2785666753213,8138,8019.23775692148,118.762243078524,8539,8476.8546312663,62.1453687336991,8724,8432.313060397,291.686939602995,NA,NA,NA,15175,14767.694452455,407.305547544998
"2021-12-01 14:30:00",368.34,366.717588169193,1.62241183080653,4334,4263.93736940183,70.0626305981681,7731,7840.07729962291,-109.07729962291,2562,2505.03207022644,56.9679297735592,4492,4455.11608482401,36.8839151759899,8169,8019.40394065771,149.596059342288,8567,8476.4868068808,90.5131931191993,8696,8430.36621452073,265.633785479273,NA,NA,NA,15280,14764.3901339711,515.609866028863
"2021-12-01 15:00:00",368.74,366.726722727311,2.01327727268871,4302,4265.6109371371,36.3890628629003,7777,7843.11630231911,-66.1163023191112,2562,2507.26517852259,54.734821477412,4486,4458.51080859035,27.4891914096503,8107,8019.57015535585,87.4298446441544,8508,8476.11887912655,31.8811208734519,8677,8428.41983183272,248.580168167281,3299,3343.93126564805,-44.9312656480534,15220,14761.0865749927,458.913425007293
"2021-12-01 22:00:00",368.82,366.735864601665,2.0841353983352,4250,4267.28477855515,-17.2847785551491,7823,7846.15459404433,-23.1545940443342,2500,2509.49852918712,-9.49852918712452,4450,4461.90566245417,-11.9056624541669,8113,8019.73650451347,93.2634954865304,8480,8475.750859514,4.24914048600516,8494,8426.47428305612,67.5257169438854,3301,3346.34222154668,-45.3422215466801,15115,14757.7843945725,357.215605427545
"2021-12-01 23:00:00",368.74,366.745016771762,1.99498322823841,4291,4268.95901918497,22.0409808150264,7846,7849.19188784918,-3.19188784918062,2509,2511.73224044263,-2.73224044262776,4436,4465.30071560886,-29.3007156088572,8144,8019.90312776816,124.096872231841,8510,8475.38277273197,34.6172272680341,8417,8424.53004166709,-7.53004166708965,3305,3348.75286449545,-43.7528644954538,14910,14754.4844014595,155.515598540531
"2021-12-02 00:00:00",368.3,366.754183078607,1.54581692139259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-02 01:00:00",368.34,366.763368187854,1.57663181214628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-02 02:00:00",368.1,366.772577404131,1.32742259586948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-02 02:30:00",367.82,366.781816683784,1.03818331621581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2021-12-02 10:00:00",367.42,366.791092531864,0.628907468135891,4287,4270.63377741073,16.3662225892673,7785,7852.22788721308,-67.2278872130759,2470,2513.96642658536,-43.9664265853643,4442,4468.69603232649,-26.6960323264934,8140,8020.07020330886,119.929796691135,8478,8475.01464522571,2.98535477429009,8398,8422.58760905424,-24.587609054236,3270,3351.16306197122,-81.1630619712219,14955,14751.1875520614,203.812447938593
"2021-12-02 10:15:00",366.32,366.800411882563,-0.480411882562846,4266,4272.30918072744,-6.30918072744215,7734,7855.26229429604,-121.262294296044,2456,2516.2012007822,-60.2012007822047,4416,4472.09166476741,-56.0916647674111,8129,8020.2379606212,108.762039378802,8462,8474.64651774984,-12.6465177498455,8395,8420.64748349353,-25.6474834935268,NA,NA,NA,14890,14747.8948670698,142.105132930181
"2021-12-02 11:30:00",366.74,366.809781930038,-0.0697819300379694,4300,4273.98536339519,26.014636604807,7788,7858.29478346878,-70.2947834687845,2470,2518.43665802607,-48.4366580260656,4446,4475.4876540569,-29.4876540569023,8141,8020.40667876488,120.593321235119,8457,8474.27843229303,-17.2784322930247,8396,8418.71015309744,-22.7101530974431,NA,NA,NA,14935,14744.6074514243,190.392548575688
"2021-12-02 14:30:00",366.64,366.819209669864,-0.179209669864294,4275,4275.66245706624,-0.662457066240671,7825,7861.32497897708,-36.3249789770775,2478,2520.67286842511,-42.6728684251083,4452,4478.88401813418,-26.8840181341753,8088,8020.57668175758,67.4233182424199,8454,8473.91042561632,-19.9104256163215,8513,8416.77609537677,96.223904623234,NA,NA,NA,14935,14741.3264688047,193.673531195309
"2021-12-02 15:00:00",367,366.828702068772,0.171297931228498,4276,4277.34060414618,-1.34060414618159,7721,7864.35247600966,-143.352476009655,2478,2522.90988206573,-44.9098820657282,4438,4482.28076274945,-44.280762749452,8006,8020.74834346533,-14.7483434653337,8377,8473.54252733861,-96.5425273386093,8332,8414.84577845483,-82.8457784548341,3310,3358.38930300822,-48.389303008219,14745,14738.0531615915,6.94683840846619
"2021-12-02 22:00:00",366.36,366.838266019411,-0.478266019411097,4126,4279.01994676678,-153.01994676678,7714,7867.37685473996,-153.376854739958,2410,2525.14773139507,-115.147731395071,4390,4485.67788254018,-95.6778825401802,7835,8020.92206562429,-185.922065624287,8326,8473.17475884859,-147.174758848592,8234,8412.9197102301,-178.919710230094,3267,3360.79586582799,-93.7958658279897,14675,14734.7888522223,-59.7888522222793
