"AL0Date","AL0Close","AL0_hpft","AL0_hpfc"
2010-01-04,17200,17411.7551803621,-211.755180362144
2010-01-05,17540,17391.2117495646,148.788250435352
2010-01-06,18160,17370.6682312361,789.331768763925
2010-01-07,17835,17350.1245993484,484.875400651571
2010-01-08,17500,17329.5811541517,170.418845848278
2010-01-11,18260,17309.038396324,950.961603676032
2010-01-12,18255,17288.4968969875,966.503103012526
2010-01-13,17410,17267.9576203538,142.042379646164
2010-01-14,17600,17247.4219301482,352.578069851846
2010-01-15,17590,17226.8912488102,363.10875118978
2010-01-18,17665,17206.3671445213,458.632855478718
2010-01-19,17735,17185.8513355572,549.148664442784
2010-01-20,17410,17165.3457297743,244.654270225734
2010-01-21,17465,17144.8524620247,320.147537975319
2010-01-22,17060,17124.3737682909,-64.3737682909217
2010-01-25,17350,17103.9120168916,246.087983108396
2010-01-26,17115,17083.4695495358,31.5304504642474
2010-01-27,17155,17063.0488096552,91.9511903447548
2010-01-28,16460,17042.6522537155,-582.652253715514
2010-01-29,16140,17022.2823761908,-882.282376190834
2010-02-01,16345,17001.9414307104,-656.941430710424
2010-02-02,16370,16981.6313062035,-611.631306203549
2010-02-03,16745,16961.3536200462,-216.353620046225
2010-02-04,16520,16941.1097367907,-421.109736790691
2010-02-05,16280,16920.9009315573,-640.900931557307
2010-02-08,16305,16900.7283053966,-595.728305396621
2010-02-09,16465,16880.5926944365,-415.5926944365
2010-02-10,16620,16860.4946885547,-240.49468855468
2010-02-11,16640,16840.4347058396,-200.434705839633
2010-02-12,16825,16820.4130649689,4.58693503109782
2010-02-22,16980,16800.4300017684,179.569998231572
2010-02-23,17015,16780.4857539602,234.514246039756
2010-02-24,16830,16760.5806334933,69.4193665067117
2010-02-25,16840,16740.7150492554,99.2849507446164
2010-02-26,16730,16720.8894388294,9.11056117055935
2010-03-01,16845,16701.1042808389,143.895719161128
2010-03-02,16550,16681.360057673,-131.360057672997
2010-03-03,16825,16661.6573112017,163.342688798314
2010-03-04,16820,16641.9965289961,178.003471003919
2010-03-05,16890,16622.3782661466,267.621733853443
2010-03-08,17075,16602.8031513229,472.196848677128
2010-03-09,16935,16583.2719238189,351.728076181097
