"GBPUSDDate","GBPUSDClose","GBPUSD_hpft","GBPUSD_hpfc"
2010-01-01,1.615,1.59082018735185,0.0241798126481525
2010-01-04,1.618,1.58963532470253,0.0283646752974741
2010-01-05,1.6,1.58845047204817,0.0115495279518334
2010-01-06,1.601,1.58726565110855,0.0137343488914519
2010-01-07,1.592,1.58608088837756,0.00591911162244105
2010-01-08,1.602,1.58489621602632,0.0171037839736842
2010-01-11,1.617,1.58371166867266,0.0332883313273422
2010-01-12,1.615,1.58252728800444,0.0324727119955596
2010-01-13,1.624,1.58134312946958,0.0426568705304238
2010-01-14,1.628,1.58015926193886,0.0478407380611393
2010-01-15,1.626,1.57897577191579,0.047024228084213
2010-01-18,1.636,1.57779276567925,0.0582072343207457
2010-01-19,1.638,1.57661036894609,0.0613896310539136
2010-01-20,1.627,1.57542873149364,0.0515712685063634
2010-01-21,1.614,1.57424802847527,0.0397519715247335
2010-01-22,1.611,1.57306845636182,0.0379315436381767
2010-01-25,1.617,1.57189022805602,0.045109771943983
2010-01-26,1.612,1.57071357213994,0.041286427860061
2010-01-27,1.621,1.56953873584224,0.0514612641577585
2010-01-28,1.623,1.56836598345773,0.0546340165422682
2010-01-29,1.599,1.56719560055323,0.0318043994467717
2010-02-01,1.586,1.56602789527906,0.0199721047209425
2010-02-02,1.592,1.56486318893221,0.0271368110677935
2010-02-03,1.6,1.56370181106533,0.0362981889346747
2010-02-04,1.584,1.56254410244834,0.0214558975516603
2010-02-05,1.564,1.56139041885537,0.00260958114463361
2010-02-08,1.558,1.56024112492955,-0.00224112492954958
2010-02-09,1.558,1.55909658639272,-0.00109658639271576
2010-02-10,1.569,1.5579571680403,0.0110428319596967
2010-02-11,1.56,1.55682323421448,0.00317676578552227
2010-02-12,1.57,1.55569515382205,0.0143048461779525
2010-02-15,1.568,1.55457329708298,0.0134267029170194
2010-02-16,1.569,1.55345804013029,0.0155419598697096
2010-02-17,1.576,1.55234976464703,0.0236502353529657
2010-02-18,1.561,1.55124885874072,0.00975114125927991
2010-02-19,1.547,1.55015572029489,-0.00315572029489346
2010-02-22,1.546,1.54907075122384,-0.00307075122383852
2010-02-23,1.541,1.54799435213739,-0.0069943521373851
2010-02-24,1.546,1.54692692237603,-0.000926922376029622
2010-02-25,1.53,1.54586885838912,-0.0158688583891196
2010-02-26,1.524,1.5448205562428,-0.0208205562428037
2010-03-01,1.498,1.54378240544372,-0.0457824054437168
2010-03-02,1.494,1.54275478689209,-0.0487547868920857
2010-03-03,1.503,1.54173806256357,-0.0387380625635688
2010-03-04,1.508,1.54073257428052,-0.0327325742805186
2010-03-05,1.514,1.53973864785255,-0.0257386478525454
2010-03-08,1.514,1.53875659555893,-0.0247565955589275
2010-03-09,1.495,1.53778671903964,-0.0427867190396407
2010-03-10,1.489,1.53682930970123,-0.0478293097012308
2010-03-11,1.505,1.53588464126399,-0.0308846412639933
2010-03-12,1.52,1.53495296767746,-0.0149529676774557
2010-03-15,1.503,1.53403453012471,-0.031034530124706
2010-03-16,1.51,1.53312956360789,-0.0231295636078871
2010-03-17,1.535,1.53223829030069,0.00276170969930576
2010-03-18,1.529,1.53136092281601,-0.00236092281601114
2010-03-19,1.501,1.53049767490829,-0.0294976749082889
2010-03-22,1.5,1.52964875935607,-0.0296487593560737
2010-03-23,1.499,1.52881437674473,-0.0298143767447318
2010-03-24,1.496,1.52799471540408,-0.031994715404078
2010-03-25,1.497,1.52718995133982,-0.0301899513398181
2010-03-26,1.49,1.52640024733233,-0.0364002473323316
2010-03-29,1.497,1.52562575368272,-0.0286257536827207
2010-03-30,1.509,1.52486660564563,-0.0158666056456268
2010-03-31,1.515,1.524122926643,-0.00912292664299796
2010-04-01,1.523,1.52339483353819,-0.000394833538188474
2010-04-02,1.521,1.52268243942344,-0.0016824394234392
2010-04-05,1.523,1.52198585722787,0.00101414277212833
2010-04-06,1.518,1.52130519918504,-0.00330519918503593
2010-04-07,1.515,1.52064057794782,-0.00564057794782209
