"","HybridClose","Hybrid_hpft","Hybrid_hpfc"
"2015-04-17",2030560,2160654.2564843,-130094.256484304
"2015-04-20",1984280,2154532.90073322,-170252.900733224
"2015-04-21",2032440,2148411.49120641,-115971.491206409
"2015-04-22",2089900,2142289.90375242,-52389.9037524226
"2015-04-23",2068360,2136167.96628188,-67807.9662818752
"2015-04-24",2063200,2130045.4850495,-66845.485049499
"2015-04-27",2112720,2123922.23828094,-11202.2382809393
"2015-04-28",2073660,2117797.97657061,-44137.9765706084
"2015-04-29",2090340,2111672.44588236,-21332.4458823616
"2015-04-30",2084220,2105545.37393519,-21325.3739351928
"2015-05-04",2081920,2099416.47963011,-17496.4796301145
"2015-05-05",2018000,2093285.47305309,-75285.4730530879
"2015-05-06",2005200,2087152.05705773,-81952.0570577329
"2015-05-07",1973200,2081015.90337769,-107815.903377688
"2015-05-08",1982380,2074876.6498709,-92496.6498709001
"2015-05-11",2029400,2068733.88982856,-39333.8898285632
"2015-05-12",2046200,2062587.17830747,-16387.178307469
"2015-05-13",2027340,2056436.05410537,-29096.0541053679
"2015-05-14",2033180,2050280.0492462,-17100.0492461971
"2015-05-15",2005020,2044118.68372677,-39098.6837267727
"2015-05-18",1954920,2037951.47047543,-83031.4704754264
"2015-05-19",2060800,2031777.90625866,29022.0937413392
"2015-05-20",2061540,2025597.45352113,35942.5464788727
"2015-05-21",2105820,2019409.58670404,86410.4132959619
"2015-05-22",2167440,2013213.79510579,154226.204894212
"2015-05-25",2229640,2007009.60374338,222630.396256622
"2015-05-26",2265820,2000796.60138473,265023.398615271
"2015-05-27",2266360,1994574.46882419,271785.531175813
"2015-05-28",2115880,1988342.99640614,127537.003593858
"2015-05-29",2092820,1982102.08682019,110717.913179811
"2015-06-01",2241900,1975851.69547459,266048.304525412
"2015-06-02",2238380,1969591.82354395,268788.17645605
"2015-06-03",2203740,1963322.58217652,240417.417823484
"2015-06-04",2249760,1957044.19362678,292715.80637322
"2015-06-05",2230080,1950756.97952812,279323.020471876
"2015-06-08",2307620,1944461.38251086,363158.617489136
"2015-06-09",2258280,1938157.96066623,320122.039333768
"2015-06-10",2248840,1931847.42220062,316992.577799375
"2015-06-11",2262080,1925530.60764602,336549.392353978
"2015-06-12",2289520,1919208.48856638,370311.511433617
"2015-06-15",2212700,1912882.17564166,299817.824358344
"2015-06-16",2159440,1906552.93262368,252887.067376324
"2015-06-17",2175220,1900222.14719691,274997.852803092
"2015-06-18",2097280,1893891.31157917,203388.688420834
"2015-06-19",2029000,1887562.03166131,141437.968338689
"2015-06-23",2015760,1881235.99740692,134524.002593083
"2015-06-24",2066300,1874914.95724433,191385.042755671
"2015-06-25",1960000,1868600.71520869,91399.2847913077
"2015-06-26",1801720,1862295.15444605,-60575.1544460462
"2015-06-29",1735220,1856000.19588321,-120780.19588321
"2015-06-30",1883980,1849717.73540768,34262.2645923233
"2015-07-01",1756940,1843449.61898127,-86509.6189812717
"2015-07-02",1787080,1837197.70672843,-50117.7067284301
"2015-07-03",1698740,1830963.82301403,-132223.823014029
"2015-07-06",1763540,1824749.77148627,-61209.7714862671
"2015-07-07",1658440,1818557.30113737,-160117.301137368
"2015-07-08",1539060,1812388.13565783,-273328.13565783
"2015-07-09",1693280,1806243.93255217,-112963.93255217
"2015-07-10",1820580,1800126.23634203,20453.7636579665
"2015-07-13",1785420,1794036.54485429,-8616.5448542898
"2015-07-14",1743000,1787976.36437057,-44976.3643705706
"2015-07-15",1699120,1781947.19761081,-82827.1976108109
"2015-07-16",1754520,1775950.52870349,-21430.5287034876
"2015-07-17",1795760,1769987.80753964,25772.1924603584
"2015-07-20",1723080,1764060.47515181,-40980.4751518098
"2015-07-21",1723900,1758169.98322576,-34269.9832257611
"2015-07-22",1710080,1752317.76650761,-42237.766507607
"2015-07-23",1804300,1746505.24557747,57794.7544225304
"2015-07-24",1736900,1740733.8235562,-3833.82355619578
"2015-07-27",1581340,1735004.92745459,-153664.92745459
"2015-07-28",1580680,1729319.9826988,-148639.982698804
"2015-07-29",1642100,1723680.35119605,-81580.3511960505
"2015-07-30",1578220,1718087.33341164,-139867.333411637
"2015-07-31",1590460,1712542.19608904,-122082.196089042
"2015-08-03",1572500,1707046.1481561,-134546.148156104
"2015-08-04",1648000,1701600.34807671,-53600.34807671
"2015-08-05",1618540,1696205.89869891,-77665.898698908
"2015-08-06",1617960,1690863.88071444,-72903.8807144432
"2015-08-07",1649340,1685575.34271114,-36235.3427111384
"2015-08-10",1724920,1680341.30314133,44578.6968586655
"2015-08-11",1712840,1675162.76547904,37677.2345209641
"2015-08-12",1699640,1670040.7516253,29599.2483746987
"2015-08-13",1715320,1664976.2990555,50343.7009444967
"2015-08-14",1712420,1659970.45748008,52449.5425199228
"2015-08-17",1701660,1655024.29741966,46635.7025803365
"2015-08-18",1607020,1650138.91107523,-43118.9110752268
