"","Hybrid_NextClose","Hybrid_Next_hpft","Hybrid_Next_hpfc"
"2015-03-23",4851000,4798832.3764993,52167.6235006991
"2015-03-24",4846000,4798786.42841267,47213.5715873305
"2015-03-25",4842500,4798740.50189004,43759.4981099641
"2015-03-26",4818500,4798694.63801159,19805.36198841
"2015-03-27",4824500,4798648.89594594,25851.1040540621
"2015-03-30",4808000,4798603.34304843,9396.65695157262
"2015-03-31",4782500,4798558.05736021,-16058.057360212
"2015-04-01",4804750,4798513.12080665,6236.87919335463
"2015-04-02",4816000,4798468.60867533,17531.3913246744
"2015-04-03",4800500,4798424.59883193,2075.40116806757
"2015-04-07",4796500,4798381.17638891,-1881.17638890578
"2015-04-08",4758000,4798338.42731658,-40338.4273165792
"2015-04-09",4763250,4798296.43680769,-35046.4368076851
"2015-04-10",4759500,4798255.27338067,-38755.2733806685
"2015-04-13",4781500,4798214.99106719,-16714.9910671898
"2015-04-14",4778500,4798175.62787904,-19675.6278790357
"2015-04-15",4807500,4798137.21491869,9362.78508131043
"2015-04-16",4809000,4798099.77515552,10900.2248444802
"2015-04-17",4815000,4798063.33542909,16936.664570905
"2015-04-20",4862500,4798027.9270847,64472.0729153036
"2015-04-21",4869500,4797993.58846854,71506.4115314557
"2015-04-22",4871000,4797960.38457702,73039.6154229803
"2015-04-23",4867000,4797928.40996438,69071.5900356223
"2015-04-24",4851500,4797897.78937651,53602.2106234848
"2015-04-27",4888000,4797868.67611075,90131.3238892533
"2015-04-28",4887000,4797841.24562139,89158.7543786152
"2015-04-29",4884500,4797815.71061941,86684.2893805942
"2015-04-30",4897750,4797792.32067044,99957.6793295643
"2015-05-04",4880000,4797771.36117189,82228.6388281078
"2015-05-05",4875250,4797753.15883968,77496.8411603186
"2015-05-06",4857750,4797738.07437972,60011.9256202796
"2015-05-07",4860000,4797726.500532,62273.4994679974
"2015-05-08",4872500,4797718.85484305,74781.1451569547
"2015-05-11",4866000,4797715.58060072,68284.4193992801
"2015-05-12",4849500,4797717.15200442,51782.8479955786
"2015-05-13",4861250,4797724.07147958,63525.9285204221
"2015-05-14",4855000,4797736.86285656,57263.13714344
"2015-05-15",4859250,4797756.0762248,61493.9237751996
"2015-05-18",4835250,4797782.28534402,37467.7146559759
"2015-05-19",4828000,4797816.08939305,30183.9106069466
"2015-05-20",4844000,4797858.10303837,46141.8969616354
"2015-05-21",4833750,4797908.95342325,35841.0465767484
"2015-05-22",4837000,4797969.28676422,39030.7132357832
"2015-05-25",4826000,4798039.764093,27960.2359070014
"2015-05-26",4783000,4798121.06257506,-15121.0625750603
"2015-05-27",4790000,4798213.87093352,-8213.87093352187
"2015-05-28",4750000,4798318.87164105,-48318.8716410534
"2015-05-29",4746000,4798436.74377503,-52436.7437750325
"2015-06-01",4710750,4798568.14643977,-87818.1464397675
"2015-06-02",4749500,4798713.71706433,-49213.7170643323
"2015-06-03",4753000,4798874.05677731,-45874.0567773127
"2015-06-04",4745500,4799049.7463643,-53549.7463642984
"2015-06-05",4765000,4799241.34764839,-34241.3476483917
"2015-06-08",4778000,4799449.40031741,-21449.4003174098
"2015-06-09",4773750,4799674.42990516,-25924.4299051579
"2015-06-10",4749000,4799916.95307911,-50916.953079112
"2015-06-11",4741500,4800177.47579065,-58677.4757906509
"2015-06-12",4731000,4800456.48294409,-69456.4829440881
"2015-06-15",4710250,4800754.43518891,-90504.4351889082
"2015-06-16",4756500,4801071.76446401,-44571.7644640122
"2015-06-17",4748000,4801408.86529742,-53408.8652974234
"2015-06-18",4762500,4801766.113793,-39266.113793004
"2015-06-19",4751000,4802143.86397754,-51143.8639775386
"2015-06-23",4745500,4802542.45364677,-57042.4536467698
"2015-06-24",4744250,4802962.19945561,-58712.199455607
"2015-06-25",4740000,4803403.39447995,-63403.3944799479
"2015-06-26",4735750,4803866.3075264,-68116.3075263992
"2015-06-29",4726750,4804351.18119314,-77601.1811931385
"2015-06-30",4737750,4804858.22992179,-67108.2299217924
"2015-07-01",4732250,4805387.6360768,-73137.6360768004
"2015-07-02",4730500,4805939.55428279,-75439.554282793
"2015-07-03",4761000,4806514.10893221,-45514.1089322059
"2015-07-06",4796000,4807111.39323377,-11111.3932337742
"2015-07-07",4814000,4807731.48158259,6268.51841740904
"2015-07-08",4790000,4808374.44378072,-18374.4437807206
"2015-07-09",4807500,4809040.35222135,-1540.35222135403
"2015-07-10",4797500,4809729.27170244,-12229.2717024445
"2015-07-13",4786000,4810441.26638522,-24441.266385221
"2015-07-14",4778750,4811176.39537584,-32426.3953758367
"2015-07-15",4772250,4811934.7076774,-39684.7076774
"2015-07-16",4787500,4812716.23888928,-25216.2388892751
"2015-07-17",4790000,4813521.00820673,-23521.0082067279
"2015-07-20",4787500,4814349.02440166,-26849.0244016647
"2015-07-21",4777000,4815200.28652332,-38200.286523319
"2015-07-22",4781500,4816074.78252268,-34574.7825226769
"2015-07-23",4795500,4816972.48456022,-21472.4845602182
"2015-07-24",4793000,4817893.35050459,-24893.3505045926
"2015-07-27",4802000,4818837.32934862,-16837.3293486208
"2015-07-28",4801500,4819804.35979521,-18304.3597952097
"2015-07-29",4805500,4820794.37358736,-15294.3735873547
"2015-07-30",4799000,4821807.29490182,-22807.2949018218
"2015-07-31",4777250,4822843.04159325,-45593.0415932466
"2015-08-03",4777750,4823901.52208866,-46151.5220886636
"2015-08-04",4785500,4824982.62596878,-39482.6259687763
"2015-08-05",4780250,4826086.22373712,-45836.2237371196
"2015-08-06",4793750,4827212.16957665,-33462.1695766538
"2015-08-07",4795750,4828360.29872355,-32610.2987235523
"2015-08-10",4783750,4829530.43258202,-45780.4325820158
"2015-08-11",4759500,4830722.37907648,-71222.3790764781
"2015-08-12",4766500,4831935.9272076,-65435.9272075995
"2015-08-13",4766250,4833170.83653559,-66920.8365355848
"2015-08-14",4773750,4834426.839572,-60676.8395719961
"2015-08-17",4756000,4835703.64116609,-79703.6411660902
"2015-08-18",4775250,4837000.92108569,-61750.9210856907
"2015-08-19",4773250,4838318.32615239,-65068.3261523934
"2015-08-20",4772500,4839655.47766244,-67155.4776624379
"2015-08-21",4774500,4841011.97001538,-66511.9700153836
"2015-08-24",4789500,4842387.36985147,-52887.369851468
"2015-08-25",4802000,4843781.21631753,-41781.2163175331
"2015-08-26",4818750,4845193.02669892,-26443.0266989185
"2015-08-27",4840000,4846622.30101029,-6622.3010102854
"2015-08-28",4847750,4848068.52833581,-318.528335808196
"2015-08-31",4850000,4849531.19502228,468.804977719742
"2015-09-02",4875000,4851009.7872848,23990.2127152038
"2015-09-07",4875000,4852503.79153228,22496.2084677228
"2015-09-09",4860000,4854012.70409021,5987.29590979381
"2015-09-10",4860000,4855536.03058311,4463.96941688527
"2015-09-14",4820500,4857073.27911043,-36573.279110432
"2015-09-15",4832750,4858623.95961678,-25873.9596167824
"2015-09-16",4826750,4860187.56692891,-33437.5669289098
"2015-09-17",4818250,4861763.58517829,-43513.5851782924
"2015-09-18",4819750,4863351.48467466,-43601.4846746598
"2015-09-21",4820750,4864950.71774097,-44200.7177409682
"2015-09-22",4813000,4866560.71867709,-53560.7186770898
"2015-09-23",4815250,4868180.90351209,-52930.9035120862
"2015-09-24",4825750,4869810.66613517,-44060.6661351735
"2015-09-25",4833250,4871449.37855606,-38199.3785560552
"2015-09-28",4846750,4873096.39457154,-26346.3945715363
"2015-09-29",4861500,4874751.05218832,-13251.0521883216
"2015-09-30",4865750,4876412.6785226,-10662.6785225975
"2015-10-08",4863500,4878080.59521308,-14580.5952130797
"2015-10-09",4906500,4879754.11949097,26745.8805090319
"2015-10-12",4909250,4881432.56256043,27817.4374395658
"2015-10-13",4936000,4883115.24668131,52884.753318689
"2015-10-14",4935750,4884801.50561205,50948.4943879524
