"L0Date","L0Close","L0_hpft","L0_hpfc"
2010-01-04,12635,12121.0427477014,513.957252298636
2010-01-05,12660,12102.9361532569,557.063846743057
2010-01-06,12605,12084.8297712618,520.170228738217
2010-01-07,12235,12066.7240444329,168.275955567063
2010-01-08,12175,12048.6196305049,126.380369495096
2010-01-11,12490,12030.5172567707,459.482743229274
2010-01-12,12255,12012.417702764,242.582297236011
2010-01-13,11765,11994.32193795,-229.321937949963
2010-01-14,12065,11976.2310320677,88.7689679323088
2010-01-15,11840,11958.1459600636,-118.145960063641
2010-01-18,11985,11940.067733578,44.9322664219765
2010-01-19,12000,11921.9973154141,78.0026845858518
2010-01-20,12100,11903.9356869485,196.064313051497
2010-01-21,12335,11885.8838618008,449.116138199234
2010-01-22,12070,11867.8429346357,202.157065364273
2010-01-25,11945,11849.8141857647,95.1858142352755
2010-01-26,11775,11831.7989790627,-56.7989790626629
2010-01-27,11575,11813.7987177504,-238.798717750443
2010-01-28,11450,11795.8147815706,-345.814781570577
2010-01-29,11450,11777.8484515558,-327.848451555819
2010-02-01,11375,11759.9008657929,-384.900865792923
2010-02-02,11285,11741.9730268493,-456.973026849341
2010-02-03,11475,11724.0657781899,-249.065778189947
2010-02-04,11390,11706.1797743853,-316.179774385345
2010-02-05,11285,11688.3155670524,-403.315567052362
2010-02-08,11395,11670.4735771118,-275.473577111828
2010-02-09,11520,11652.6540587701,-132.654058770145
2010-02-10,11645,11634.857152364,10.1428476359723
2010-02-11,11690,11617.0829433963,72.9170566037294
2010-02-12,11790,11599.3315215624,190.668478437611
2010-02-22,12095,11581.6030066989,513.396993301149
2010-02-23,12125,11563.8975974568,561.102402543184
2010-02-24,12060,11546.215704705,513.784295294987
2010-02-25,11855,11528.5579712495,326.442028750519
2010-02-26,11890,11510.925252274,379.074747725995
2010-03-01,11915,11493.3185379003,421.681462099707
2010-03-02,11640,11475.7389749444,164.261025055591
2010-03-03,11695,11458.1878845285,236.812115471475
2010-03-04,11520,11440.6666556737,79.3333443263048
2010-03-05,11495,11423.1767752896,71.8232247103608
2010-03-08,11620,11405.7197630793,214.280236920697
2010-03-09,11540,11388.2971684344,151.702831565597
2010-03-10,11535,11370.9106293214,164.089370678572
2010-03-11,11270,11353.5618464149,-83.5618464148537
2010-03-12,11345,11336.2525882171,8.74741178294629
2010-03-15,10960,11318.9845886893,-358.9845886893
2010-03-16,10920,11301.7595854087,-381.759585408663
2010-03-17,11220,11284.5791675625,-64.5791675625077
2010-03-18,11100,11267.444766534,-167.444766533952
2010-03-19,11245,11250.3577870119,-5.35778701188319
2010-03-22,11335,11233.31956447,101.68043552998
2010-03-23,11355,11216.3314321677,138.668567832282
2010-03-24,11275,11199.3947653946,75.6052346053936
2010-03-25,11280,11182.5109967606,97.4890032394315
2010-03-26,11320,11165.6815901275,154.318409872491
2010-03-29,11635,11148.9080496555,486.091950344547
2010-03-30,11500,11132.1919432934,367.808056706594
2010-03-31,11380,11115.5350399213,264.464960078728
2010-04-01,11430,11098.9392604559,331.060739544067
2010-04-02,11565,11082.4066351335,482.593364866469
2010-04-06,11775,11065.9393310374,709.0606689626
2010-04-07,11785,11049.5397147356,735.460285264448
2010-04-08,11665,11033.210445893,631.789554106977
2010-04-09,11775,11016.9544881845,758.045511815537
2010-04-12,11740,11000.7750664416,739.224933558436
2010-04-13,11750,10984.675718841,765.324281159013
2010-04-14,11890,10968.6602891254,921.339710874554
2010-04-15,11880,10952.7329373918,927.267062608151
2010-04-16,11850,10936.8982045822,913.101795417819
2010-04-19,11515,10921.161014933,593.83898506702
2010-04-20,11665,10905.5266701204,759.473329879623
2010-04-21,11670,10890.0007172898,779.99928271024
2010-04-22,11535,10874.5890175223,660.410982477686
2010-04-23,11565,10859.2977543194,705.702245680612
2010-04-26,11620,10844.1333841698,775.866615830201
2010-04-27,11435,10829.1026552713,605.897344728714
2010-04-28,11370,10814.2126365336,555.787363466356
2010-04-29,11360,10799.4706473203,560.529352679698
2010-04-30,11450,10784.884236735,665.115763264966
2010-05-04,11445,10770.4611855814,674.538814418637
2010-05-05,11410,10756.2095495956,653.790450404404
2010-05-06,11345,10742.1376633407,602.862336659256
2010-05-07,11005,10728.2541316307,276.745868369335
2010-05-10,11120,10714.5678084782,405.432191521751
2010-05-11,10895,10701.087662292,193.912337707994
2010-05-12,10805,10687.8228290696,117.17717093039
2010-05-13,10885,10674.7825249649,210.21747503514
2010-05-14,10690,10661.9760145672,28.0239854328059
2010-05-17,10210,10649.4126493616,-439.412649361556
2010-05-18,10305,10637.101792417,-332.101792417005
2010-05-19,10200,10625.0526251681,-425.052625168107
2010-05-20,10350,10613.2741917706,-263.274191770626
2010-05-21,10235,10601.7753606812,-366.775360681228
2010-05-24,10445,10590.5648915291,-145.564891529138
2010-05-25,10215,10579.6513923336,-364.651392333595
2010-05-26,10375,10569.0434109436,-194.043410943625
2010-05-27,10465,10558.7493444753,-93.7493444753393
2010-05-28,10440,10548.777509835,-108.777509834977
2010-05-31,10425,10539.136185178,-114.136185178039
2010-06-01,10235,10529.8336036946,-294.83360369463
2010-06-02,10015,10520.8779513954,-505.877951395423
2010-06-03,10040,10512.2772924188,-472.277292418841
2010-06-04,9870,10504.0394817948,-634.039481794797
2010-06-07,9415,10496.172179331,-1081.172179331
2010-06-08,9445,10488.6827827494,-1043.68278274938
2010-06-09,9600,10481.5782428593,-881.578242859285
2010-06-10,9595,10474.8650790536,-879.865079053556
2010-06-11,9720,10468.5494463151,-748.549446315052
2010-06-17,9565,10462.6371359266,-897.637135926632
2010-06-18,9350,10457.1336297512,-1107.13362975115
2010-06-21,9770,10452.0440386033,-682.044038603296
2010-06-22,9650,10447.3730156543,-797.373015654339
2010-06-23,9615,10443.1249321459,-828.124932145891
2010-06-24,9805,10439.3038297168,-634.303829716755
2010-06-25,9715,10435.9134076926,-720.913407692628
2010-06-28,9790,10432.9571032036,-642.95710320355
2010-06-29,9510,10430.4380553832,-920.438055383183
2010-06-30,9485,10428.359137592,-943.359137592046
2010-07-01,9215,10426.7228427185,-1211.72284271853
2010-07-02,9385,10425.5312737049,-1040.53127370493
2010-07-05,9400,10424.7860326161,-1024.78603261609
2010-07-06,9365,10424.488291403,-1059.48829140297
2010-07-07,9260,10424.6387984104,-1164.63879841041
2010-07-08,9325,10425.2378640343,-1100.23786403433
2010-07-09,9395,10426.285317256,-1031.28531725598
2010-07-12,9370,10427.7805322608,-1057.78053226083
2010-07-13,9305,10429.7224569443,-1124.72245694428
2010-07-14,9330,10432.1096019563,-1102.10960195628
2010-07-15,9205,10434.9400130326,-1229.94001303256
2010-07-16,9180,10438.2112803427,-1258.21128034267
2010-07-19,9175,10441.9204856453,-1266.9204856453
2010-07-20,9335,10446.0641906073,-1111.06419060727
2010-07-21,9350,10450.6384332017,-1100.63843320171
2010-07-22,9540,10455.6387921305,-915.638792130455
2010-07-23,9730,10461.0603911371,-731.060391137105
2010-07-26,9805,10466.8979754767,-661.897975476739
2010-07-27,9705,10473.1459882136,-768.145988213638
