"LALTDate","LALTClose","LALT_hpft","LALT_hpfc"
2013-06-24,1773,1830.44014844648,-57.4401484464805
2013-06-25,1778,1830.34688106874,-52.3468810687406
2013-06-26,1773,1830.25358994755,-57.2535899475531
2013-06-27,1772.2,1830.16022970137,-57.9602297013747
2013-06-28,1775,1830.06673128233,-55.0667312823306
2013-07-01,1824,1829.97300168412,-5.97300168411689
2013-07-02,1824.8,1829.87892513806,-5.07892513805717
2013-07-03,1810,1829.78438340648,-19.7843834064789
2013-07-04,1809.5,1829.68925615228,-20.1892561522831
2013-07-05,1771,1829.59341486033,-58.5934148603284
2013-07-08,1803,1829.49672267,-26.4967226699959
2013-07-09,1793,1829.39901850053,-36.3990185005305
2013-07-10,1815,1829.3001303185,-14.3001303185015
2013-07-11,1831.5,1829.19987104458,2.30012895541887
2013-07-12,1839.2,1829.09804768834,10.101952311657
2013-07-15,1809.2,1828.99446821015,-19.7944682101468
2013-07-16,1809.8,1828.88894474609,-19.0889447460916
2013-07-17,1804,1828.78128125004,-24.7812812500368
2013-07-18,1804.5,1828.67127378524,-24.1712737852417
2013-07-19,1825.5,1828.55870817138,-3.05870817138184
2013-07-22,1843.2,1828.4433602367,14.756639763302
2013-07-23,1846,1828.32500454508,17.6749954549216
2013-07-24,1846.2,1828.20342176022,17.9965782397813
2013-07-25,1824,1828.07839985195,-4.07839985195398
2013-07-26,1798.5,1827.94973422917,-29.4497342291688
2013-07-29,1801.5,1827.81721861491,-26.3172186149105
2013-07-30,1780,1827.68063455888,-47.6806345588811
2013-07-31,1804,1827.53975273231,-23.5397527323103
2013-08-01,1807.5,1827.39432409717,-19.894324097167
2013-08-02,1814,1827.24408988503,-13.2440898850336
2013-08-05,1804,1827.08878310397,-23.088783103972
2013-08-06,1786.5,1826.92813128748,-40.4281312874801
2013-08-07,1774.5,1826.7618524251,-52.2618524250985
2013-08-08,1843.8,1826.58964779497,17.2103522050295
2013-08-09,1872,1826.41119707229,45.588802927705
2013-08-12,1887.5,1826.22618704636,61.273812953641
2013-08-13,1880,1826.03432335102,53.9656766489755
2013-08-14,1893,1825.83533694826,67.1646630517359
