"NI0Date","NI0Close","NI0_hpft","NI0_hpfc"
2015-03-30,98430,104211.837792739,-5781.83779273924
2015-03-31,95040,104010.466883263,-8970.46688326331
2015-04-01,92500,103809.093583808,-11309.0935838081
2015-04-02,96160,103607.711796364,-7447.71179636417
2015-04-03,97300,103406.310748198,-6106.31074819755
2015-04-07,96420,103204.876587989,-6784.87658798937
2015-04-08,93950,103003.392940318,-9053.39294031769
2015-04-09,94300,102801.840625166,-8501.84062516551
2015-04-10,94540,102600.196720207,-8060.19672020698
2015-04-13,95230,102398.434788795,-7168.43478879486
2015-04-14,93100,102196.525062526,-9096.52506252577
2015-04-15,94730,101994.434809851,-7264.43480985091
2015-04-16,95400,101792.127539085,-6392.12753908473
2015-04-17,95850,101589.563755715,-5739.56375571489
2015-04-20,95410,101386.701322982,-5976.70132298165
2015-04-21,95880,101183.495731619,-5303.49573161923
2015-04-22,96330,100979.900001836,-4649.900001836
2015-04-23,95860,100775.864961588,-4915.8649615875
2015-04-24,97830,100571.339516747,-2741.33951674668
2015-04-27,101490,100366.270541165,1123.72945883467
2015-04-28,102650,100160.603775538,2489.39622446241
2015-04-29,101020,99954.2854250614,1065.71457493855
2015-04-30,106010,99747.2627239498,6262.73727605021
2015-05-04,107580,99539.4833469409,8040.51665305914
2015-05-05,107960,99330.8975575365,8629.10244246352
2015-05-06,113380,99121.4589428642,14258.5410571358
2015-05-07,112500,98911.1246569739,13588.8753430261
2015-05-08,112300,98699.8577478259,13600.1422521742
2015-05-11,113880,98487.6268804739,15392.3731195261
2015-05-12,111600,98274.4063417221,13325.5936582779
2015-05-13,111750,98060.176780965,13689.823219035
2015-05-14,109400,97844.924355862,11555.075644138
2015-05-15,110210,97628.640882894,12581.359117106
2015-05-18,108610,97411.3229549455,11198.6770450545
2015-05-19,106430,97192.9723655264,9237.02763447359
2015-05-20,102340,96973.5955372335,5366.4044627665
2015-05-21,101070,96753.2027108774,4316.79728912262
2015-05-22,100070,96531.8063455246,3538.19365447536
2015-05-25,99480,96309.4206846332,3170.57931536683
2015-05-26,100010,96086.0614342053,3923.93856579467
2015-05-27,100670,95861.7456108364,4808.25438916361
2015-05-28,99470,95636.491853117,3833.50814688301
2015-05-29,97600,95410.3207871803,2189.67921281967
2015-06-01,96810,95183.2546237745,1626.74537622548
2015-06-02,100280,94955.3164787744,5324.68352122559
2015-06-03,99060,94726.530140488,4333.46985951195
2015-06-04,98530,94496.9215982306,4033.0784017694
2015-06-05,98390,94266.5186325987,4123.48136740128
2015-06-08,100570,94035.3506913051,6534.64930869488
2015-06-09,100910,93803.4489265418,7106.55107345823
2015-06-10,101330,93570.8471916614,7759.15280833861
2015-06-11,101500,93337.5822775801,8162.41772241991
2015-06-12,98070,93103.6941825369,4966.30581746313
2015-06-15,97580,92869.2262787818,4710.77372121817
2015-06-16,95700,92634.2239914405,3065.77600855948
2015-06-17,95280,92398.7346928811,2881.26530711886
2015-06-18,96300,92162.8070227406,4137.19297725942
2015-06-19,94610,91926.4908116542,2683.5091883458
2015-06-23,95050,91689.837600408,3360.16239959195
2015-06-24,96390,91452.9000390419,4937.09996095814
2015-06-25,94850,91215.732166552,3634.26783344798
2015-06-26,93850,90978.3900627331,2871.60993726686
2015-06-29,90360,90740.9313096401,-380.931309640086
2015-06-30,87330,90503.4146763332,-3173.41467633317
2015-07-01,88360,90265.8987744164,-1905.8987744164
2015-07-02,89450,90028.4409037289,-578.440903728939
2015-07-03,89240,89791.097576288,-551.097576288048
2015-07-06,85530,89553.9250650068,-4023.92506500685
2015-07-07,84220,89316.9794149977,-5096.97941499768
2015-07-08,81630,89080.3150080425,-7450.31500804249
2015-07-09,83600,88843.9841190383,-5243.98411903832
2015-07-10,84570,88608.0359432202,-4038.03594322022
2015-07-13,82250,88372.5175081719,-6122.51750817188
2015-07-14,84500,88137.4741723152,-3637.47417231519
2015-07-15,86970,87902.9487632708,-932.948763270794
2015-07-16,85430,87668.9826050716,-2238.98260507156
2015-07-17,85600,87435.616636107,-1835.61663610697
2015-07-20,85320,87202.8908692632,-1882.89086926315
2015-07-21,87870,86970.8445586551,899.155441344861
2015-07-22,85220,86739.5161800863,-1519.5161800863
2015-07-23,84410,86508.9445810353,-2098.94458103527
2015-07-24,83360,86279.1679808733,-2919.1679808733
2015-07-27,82650,86050.2237313525,-3400.22373135248
2015-07-28,82740,85822.1479775581,-3082.14797755813
2015-07-29,84330,85594.9754590603,-1264.97545906035
2015-07-30,82620,85368.7396413912,-2748.73964139124
2015-07-31,81780,85143.4734671979,-3363.47346719785
2015-08-03,80340,84919.2087429001,-4579.20874290013
2015-08-04,81100,84695.9758846011,-3595.97588460105
2015-08-05,81190,84473.8034155381,-3283.8034155381
2015-08-06,80780,84252.7183725214,-3472.71837252136
2015-08-07,80700,84032.7464349669,-3332.74643496693
2015-08-10,82200,83813.9118468061,-1613.91184680606
2015-08-11,82370,83596.2374743518,-1226.23747435181
2015-08-12,82690,83379.745516786,-689.745516786016
2015-08-13,82690,83164.4576664151,-474.457666415131
2015-08-14,82300,82950.3953304338,-650.395330433764
2015-08-17,82880,82737.5797199107,142.420280089326
2015-08-18,81130,82526.0317770742,-1396.03177707418
2015-08-19,81860,82315.7725030182,-455.772503018255
2015-08-20,80650,82106.8223217773,-1456.82232177734
2015-08-21,80370,81899.2014689812,-1529.20146898117
2015-08-24,76800,81692.9295780744,-4892.92957807435
2015-08-25,73600,81488.0256503871,-7888.02565038711
2015-08-26,74360,81284.5066647111,-6924.50666471113
2015-08-27,76160,81082.3863392474,-4922.38633924742
2015-08-28,78610,80881.67552988,-2271.67552987995
2015-08-31,76810,80682.3830577785,-3872.38305777846
2015-09-01,75810,80484.5168050947,-4674.51680509471
2015-09-02,76510,80288.083053289,-3778.083053289
2015-09-07,77000,80093.0861515695,-3093.08615156946
2015-09-08,76190,79899.5288874345,-3709.52888743448
2015-09-09,77790,79707.4127698236,-1917.41276982364
2015-09-10,78710,79516.7377743066,-806.737774306612
2015-09-11,79410,79327.5030838718,82.4969161282326
2015-09-14,78260,79139.7075480367,-879.707548036666
2015-09-15,76960,78953.3500504196,-1993.35005041962
2015-09-16,78950,78768.429111,181.570889000028
2015-09-17,78590,78584.9424257862,5.05757421384203
2015-09-18,77890,78402.8877658456,-512.887765845556
2015-09-21,78110,78222.2629043334,-112.262904333355
2015-09-22,77090,78043.0654023978,-953.065402397775
2015-09-23,76740,77865.292774781,-1125.29277478103
2015-09-24,76760,77688.9421422717,-928.942142271697
2015-09-25,77100,77514.0101605004,-414.010160500416
2015-09-28,77410,77340.4931011118,69.5068988882156
2015-09-29,75540,77168.3870646177,-1628.38706461773
2015-09-30,77100,76997.6881802593,102.311819740751
2015-10-08,77450,76828.3919041693,621.608095830737
2015-10-09,79450,76660.4937347733,2789.50626522671
2015-10-12,80310,76493.9894274442,3816.01057255583
2015-10-13,79620,76328.8758906217,3291.12410937831
2015-10-14,79270,76165.1516101351,3104.84838986488
2015-10-15,80340,76002.8164322282,4337.1835677718
2015-10-16,80390,75841.8714865668,4548.1285134332
2015-10-19,79150,75682.3196956317,3467.68030436826
2015-10-20,78320,75524.165861919,2795.83413808103
2015-10-21,78130,75367.4162213232,2762.58377867676
2015-10-22,78660,75212.0781654236,3447.92183457643
2015-10-23,79980,75058.1602277445,4921.83977225552
2015-10-26,78590,74905.672367039,3684.32763296102
2015-10-27,79090,74754.6265765542,4335.37342344584
2015-10-28,79160,74605.0363724834,4554.96362751655
