"PK0Date","PK0Close","PK0_hpft","PK0_hpfc"
2021-02-02,10414,10935.9749119209,-521.974911920942
2021-02-03,10304,10921.266731653,-617.266731653047
2021-02-04,10302,10906.5583356217,-604.558335621713
2021-02-05,10288,10891.8492529103,-603.849252910255
2021-02-08,10346,10877.1387627019,-531.138762701881
2021-02-09,10376,10862.4258945728,-486.425894572805
2021-02-10,10354,10847.7094585478,-493.709458547826
2021-02-18,10400,10832.9880635829,-432.988063582853
2021-02-19,10368,10818.2601145541,-450.260114554138
2021-02-22,10650,10803.5238373582,-153.523837358154
2021-02-23,10702,10788.7772717718,-86.7772717718104
2021-02-24,10710,10774.0183941115,-64.0183941115155
2021-02-25,10862,10759.2451448234,102.754855176565
2021-02-26,10816,10744.4554378911,71.5445621088905
2021-03-01,11128,10729.6472297728,398.352770227187
2021-03-02,10922,10714.8185065004,207.181493499606
2021-03-03,10902,10699.9674187688,202.032581231185
2021-03-04,10936,10685.0922029135,250.907797086517
2021-03-05,10786,10670.191178782,115.808821217972
2021-03-08,11060,10655.2627699371,404.737230062856
2021-03-09,10812,10640.3054478124,171.694552187648
2021-03-10,10898,10625.3178511432,272.682148856789
2021-03-11,10844,10610.2986896368,233.701310363153
2021-03-12,10852,10595.2467857164,256.753214283627
2021-03-15,10868,10580.1610584075,287.838941592532
2021-03-16,10774,10565.0405328674,208.959467132596
2021-03-17,10702,10549.8843532344,152.115646765644
2021-03-18,10596,10534.6917500221,61.3082499779211
2021-03-19,10468,10519.4620166227,-51.4620166226742
2021-03-22,10480,10504.1944717707,-24.1944717707155
2021-03-23,10570,10488.8884129284,81.1115870715811
2021-03-24,10544,10473.543127557,70.4568724430302
2021-03-25,10642,10458.1579366459,183.842063354078
2021-03-26,10510,10442.7321903087,67.2678096912619
2021-03-29,10356,10427.2653146518,-71.2653146518322
2021-03-30,10422,10411.7567635874,10.2432364126011
2021-03-31,10400,10396.2059615695,3.79403843054842
2021-04-01,10516,10380.6123372861,135.387662713881
2021-04-02,10510,10364.975320994,145.02467900603
2021-04-06,10508,10349.2943989132,158.705601086848
2021-04-07,10588,10333.5691172113,254.430882788658
