"RU0Date","RU0Close","RU0_hpft","RU0_hpfc"
2010-01-04,24350,24272.9864461684,77.0135538315911
2010-01-05,24705,24252.8171935871,452.182806412942
2010-01-06,25050,24232.64797284,817.352027159987
2010-01-07,24855,24212.4790026758,642.520997324231
2010-01-08,25355,24192.3108397033,1162.68916029672
2010-01-11,26040,24172.1443061238,1867.85569387616
2010-01-12,25860,24151.9807047477,1708.01929525228
2010-01-13,25305,24131.8221104816,1173.17788951842
2010-01-14,25680,24111.6713042586,1568.32869574142
2010-01-15,25050,24091.531551956,958.46844804401
2010-01-18,24740,24071.406767736,668.593232263975
2010-01-19,25360,24051.3012619528,1308.69873804718
2010-01-20,25270,24031.2196213299,1238.78037867008
2010-01-21,25730,24011.1669735545,1718.83302644554
2010-01-22,24475,23991.1489583755,483.851041624534
2010-01-25,24590,23971.1719260385,618.828073961511
2010-01-26,24065,23951.2424267935,113.757573206494
2010-01-27,23780,23931.3672666894,-151.367266689358
2010-01-28,23165,23911.5532987974,-746.553298797449
2010-01-29,22985,23891.8073136202,-906.807313620196
2010-02-01,23000,23872.1357930649,-872.135793064934
2010-02-02,22955,23852.5448442012,-897.544844201206
2010-02-03,23525,23833.0402135927,-308.040213592654
2010-02-04,22980,23813.6272767941,-833.627276794145
2010-02-05,22030,23794.3112820289,-1764.31128202891
2010-02-08,21980,23775.0971329324,-1795.09713293241
2010-02-09,22380,23755.9890038447,-1375.98900384469
2010-02-10,23280,23736.9903270848,-456.990327084764
2010-02-11,23850,23718.1039661929,131.896033807068
2010-02-12,24330,23699.3325958086,630.667404191387
2010-02-22,24885,23680.6789450914,1204.32105490859
2010-02-23,25105,23662.1460038933,1442.85399610666
2010-02-24,25145,23643.7372598843,1501.26274011572
2010-02-25,24680,23625.456797152,1054.54320284796
2010-02-26,24835,23607.3093203464,1227.69067965359
2010-03-01,24680,23589.2999700224,1090.70002997755
2010-03-02,24095,23571.4343942136,523.565605786359
2010-03-03,24280,23553.7186918046,726.281308195447
2010-03-04,23725,23536.1591781008,188.840821899185
2010-03-05,24020,23518.7624686241,501.237531375933
2010-03-08,24800,23501.5352569545,1298.46474304546
2010-03-09,24530,23484.4844438641,1045.51555613588
2010-03-10,24555,23467.6174668576,1087.38253314239
2010-03-11,24090,23450.9421956142,639.057804385813
2010-03-12,23730,23434.4669492932,295.533050706843
2010-03-15,22890,23418.2003112145,-528.200311214469
2010-03-16,23310,23402.1509868599,-92.1509868599252
2010-03-17,23880,23386.3274633741,493.672536625888
2010-03-18,23660,23370.7381898107,289.26181018934
2010-03-19,24200,23355.3918192863,844.60818071375
2010-03-22,24005,23340.2971244882,664.702875511811
2010-03-23,23560,23325.4632272309,234.53677276915
2010-03-24,23750,23310.899524089,439.100475911017
2010-03-25,24675,23296.6155085862,1378.38449141377
2010-03-26,24855,23282.6208557527,1572.37914424731
2010-03-29,24955,23268.9258103868,1686.07418961325
2010-03-30,24915,23255.5412672451,1659.45873275494
2010-03-31,24515,23242.4788180407,1272.52118195933
2010-04-01,24580,23229.7507404387,1350.24925956134
2010-04-02,24780,23217.3698381141,1562.63016188587
2010-04-06,25390,23205.3494728797,2184.65052712033
2010-04-07,25505,23193.7036524785,2311.29634752147
2010-04-08,25050,23182.4472876989,1867.55271230112
2010-04-09,25270,23171.5962447258,2098.40375527422
2010-04-12,25485,23161.1671617167,2323.83283828326
2010-04-13,25390,23151.1775442239,2238.82245577606
2010-04-14,25595,23141.6458583792,2453.35414162084
2010-04-15,25625,23132.5914957532,2492.40850424685
2010-04-16,25325,23124.0348620355,2200.9651379645
2010-04-19,24325,23115.9973931767,1209.00260682334
2010-04-20,24735,23108.5014349161,1626.49856508394
2010-04-21,24595,23101.569832748,1493.43016725198
2010-04-22,24350,23095.2261044955,1254.77389550452
2010-04-23,24315,23089.494385305,1225.50561469497
2010-04-26,24505,23084.3993289965,1420.60067100346
2010-04-27,23865,23079.9660959651,785.033904034854
2010-04-28,23500,23076.2204338231,423.779566176884
2010-04-29,23430,23073.1884146871,356.811585312917
2010-04-30,23525,23070.8962858465,454.103714153503
2010-05-04,23265,23069.3704420814,195.629557918643
2010-05-05,22905,23068.6374658807,-163.637465880718
2010-05-06,22670,23068.7240205972,-398.724020597209
2010-05-07,22140,23069.6567019443,-929.656701944326
2010-05-10,22570,23071.4619408188,-501.46194081876
2010-05-11,22000,23074.1657838346,-1074.16578383464
2010-05-12,22285,23077.7940703206,-792.794070320598
2010-05-13,22435,23082.3721955891,-647.372195589097
2010-05-14,21745,23087.9252272399,-1342.9252272399
2010-05-17,21075,23094.4779652829,-2019.47796528292
2010-05-18,21825,23102.0546546105,-1277.05465461046
2010-05-19,21855,23110.6787053457,-1255.67870534575
2010-05-20,21765,23120.3729997295,-1355.37299972951
