"UR0Date","UR0Close","UR0_hpft","UR0_hpfc"
2019-08-12,1716,1764.34209124275,-48.3420912427518
2019-08-13,1767,1763.60155285948,3.39844714051574
2019-08-14,1732,1762.86099449354,-30.8609944935401
2019-08-15,1738,1762.12039756702,-24.1203975670242
2019-08-16,1739,1761.37973074535,-22.3797307453474
2019-08-19,1741,1760.63895272352,-19.6389527235178
2019-08-20,1741,1759.89801294566,-18.8980129456623
2019-08-21,1718,1759.15685273796,-41.1568527379552
2019-08-22,1723,1758.41540561489,-35.4154056148928
2019-08-23,1720,1757.67358807836,-37.6735880783628
2019-08-26,1736,1756.93130199099,-20.9313019909878
2019-08-27,1738,1756.18843364262,-18.188433642623
2019-08-28,1750,1755.44486067097,-5.44486067096741
2019-08-29,1786,1754.70045319535,31.299546804648
2019-08-30,1789,1753.95507908442,35.0449209155803
2019-09-02,1796,1753.20861914479,42.7913808552092
2019-09-03,1791,1752.46096866924,38.5390313307567
2019-09-04,1813,1751.7120406388,61.2879593612038
2019-09-05,1812,1750.96176396495,61.0382360350514
2019-09-06,1820,1750.21009289318,69.789907106821
2019-09-09,1823,1749.45700689972,73.5429931002771
2019-09-10,1811,1748.70251430915,62.2974856908486
2019-09-11,1817,1747.94665384575,69.0533461542476
2019-09-12,1815,1747.18948998509,67.8105100149067
2019-09-16,1790,1746.43111574661,43.5688842533886
2019-09-17,1781,1745.67165217989,35.3283478201107
2019-09-18,1785,1744.91123834413,40.0887616558706
2019-09-19,1778,1744.15002790185,33.8499720981461
2019-09-20,1760,1743.38819108667,16.6118089133322
2019-09-23,1763,1742.62591212439,20.374087875608
2019-09-24,1772,1741.8633821075,30.1366178924975
2019-09-25,1756,1741.1008005503,14.8991994496966
2019-09-26,1758,1740.33837942436,17.6616205756354
2019-09-27,1749,1739.57633685999,9.4236631400145
2019-09-30,1755,1738.81489828807,16.1851017119281
2019-10-08,1753,1738.05429303489,14.9457069651102
2019-10-09,1769,1737.29475711698,31.705242883022
2019-10-10,1758,1736.53653272882,21.4634672711753
2019-10-11,1752,1735.7798751706,16.220124829403
2019-10-14,1739,1735.02504861459,3.97495138540526
2019-10-15,1737,1734.27232393786,2.72767606213945
2019-10-16,1730,1733.52197366053,-3.52197366053348
2019-10-17,1715,1732.77427143024,-17.7742714302428
2019-10-18,1714,1732.0294894388,-18.0294894387966
2019-10-21,1700,1731.28789253083,-31.287892530825
2019-10-22,1683,1730.54973809829,-47.5497380982949
2019-10-23,1679,1729.81527060001,-50.8152706000094
2019-10-24,1683,1729.08471483963,-46.0847148396341
2019-10-25,1680,1728.35827461584,-48.3582746158386
2019-10-28,1685,1727.63613467772,-42.6361346777203
2019-10-29,1686,1726.91845978501,-40.9184597850108
2019-10-30,1690,1726.20539707339,-36.2053970733896
