"USDJPYDate","USDJPYClose","USDJPY_hpft","USDJPY_hpfc"
2010-01-01,93,91.6710972907651,1.32890270923494
2010-01-04,92.55,91.6685755435989,0.881424456401083
2010-01-05,91.72,91.6660543457477,0.0539456542522915
2010-01-06,92.34,91.6635346108718,0.676465389128191
2010-01-07,93.31,91.6610172749305,1.64898272506945
2010-01-08,92.61,91.6585035535069,0.951496446493133
2010-01-11,92.08,91.6559953438068,0.424004656193167
2010-01-12,90.95,91.6534949363469,-0.703494936346863
2010-01-13,91.4,91.6510047969099,-0.251004796909904
2010-01-14,91.14,91.6485271004831,-0.508527100483045
2010-01-15,90.78,91.6460639182967,-0.86606391829671
2010-01-18,90.72,91.6436171113774,-0.923617111377356
2010-01-19,91.1,91.6411881827554,-0.541188182755417
2010-01-20,91.25,91.6387782536752,-0.388778253675188
2010-01-21,90.42,91.6363882216756,-1.21638822167556
2010-01-22,89.89,91.6340188235901,-1.74401882359006
2010-01-25,90.23,91.6316702934463,-1.40167029344626
2010-01-26,89.62,91.6293421443645,-2.00934214436448
2010-01-27,90,91.6270333100709,-1.62703331007094
2010-01-28,89.88,91.6247418937105,-1.74474189371054
2010-01-29,90.3,91.6224653258781,-1.32246532587809
2010-02-01,90.62,91.6202003159623,-1.00020031596228
2010-02-02,90.38,91.6179430266978,-1.23794302669777
2010-02-03,90.97,91.6156892073766,-0.645689207376625
2010-02-04,88.95,91.6134340955751,-2.66343409557508
2010-02-05,89.33,91.6111726619674,-2.28117266196741
2010-02-08,89.3,91.6088987762713,-2.30889877627129
2010-02-09,89.65,91.6066053652594,-1.95660536525936
2010-02-10,89.97,91.6042844012985,-1.63428440129848
2010-02-11,89.72,91.6019270479733,-1.88192704797333
2010-02-12,90.02,91.5995237933212,-1.57952379332119
2010-02-15,89.98,91.5970643474664,-1.61706434746641
2010-02-16,90.1,91.5945377676219,-1.49453776762195
2010-02-17,91.36,91.5919324425709,-0.231932442570917
2010-02-18,91.22,91.589236143315,-0.369236143315014
2010-02-19,91.59,91.586436544984,0.00356345501596154
2010-02-22,91.27,91.5835211700808,-0.313521170080806
2010-02-23,90.97,91.5804775425809,-0.610477542580866
2010-02-24,90.13,91.5772930568628,-1.44729305686282
2010-02-25,89.3,91.5739548549581,-2.27395485495812
2010-02-26,88.97,91.570449480646,-2.60044948064598
2010-03-01,89.23,91.5667625377436,-2.33676253774359
2010-03-02,89.1,91.5628785551475,-2.46287855514754
2010-03-03,88.87,91.5587810958298,-2.68878109582976
2010-03-04,88.42,91.5544527047082,-3.13445270470815
2010-03-05,90.28,91.5498748152664,-1.26987481526638
2010-03-08,90.36,91.5450275653314,-1.18502756533142
2010-03-09,89.77,91.5398905678145,-1.76989056781454
2010-03-10,90.45,91.5344429457848,-1.08444294578478
2010-03-11,90.49,91.5286630907097,-1.03866309070969
2010-03-12,90.56,91.5225289457918,-0.962528945791768
2010-03-15,90.71,91.5160180248915,-0.806018024891458
2010-03-16,90.63,91.5091074439987,-0.879107443998742
2010-03-17,90.51,91.5017739859287,-0.991773985928689
2010-03-18,90.19,91.4939940701078,-1.3039940701078
2010-03-19,90.55,91.4857437060033,-0.935743706003286
2010-03-22,90.57,91.4769983640633,-0.906998364063323
2010-03-23,90.35,91.4677331279382,-1.11773312793818
2010-03-24,91.22,91.4579227063616,-0.237922706361583
2010-03-25,91.98,91.4475413460396,0.532458653960387
2010-03-26,92.52,91.4365631953322,1.08343680466775
2010-03-29,92.45,91.4249626226969,1.02503737730312
2010-03-30,92.56,91.4127144444383,1.14728555556172
2010-03-31,93.42,91.3997939005738,2.02020609942623
2010-04-01,93.48,91.3861767053571,2.09382329464295
2010-04-02,94.61,91.3718394081183,3.23816059188173
