"ZN0Date","ZN0Close","ZN0_hpft","ZN0_hpfc"
2010-01-04,21435,20036.0979727208,1398.9020272792
2010-01-05,21650,19997.535005036,1652.46499496402
2010-01-06,21740,19958.972615601,1781.02738439901
2010-01-07,21725,19920.4120657283,1804.58793427172
2010-01-08,21210,19881.8553529354,1328.14464706461
2010-01-11,21735,19843.3052206839,1891.69477931609
2010-01-12,21490,19804.7649614371,1685.23503856292
2010-01-13,20450,19766.2386496086,683.761350391386
2010-01-14,20610,19727.7310562207,882.268943779342
2010-01-15,20470,19689.2472349353,780.752765064739
2010-01-18,20550,19650.7926041082,899.207395891836
2010-01-19,20950,19612.3729048272,1337.62709517276
2010-01-20,20950,19573.9942498765,1376.00575012346
2010-01-21,20925,19535.6633049614,1389.33669503858
2010-01-22,19930,19497.3873045727,432.612695427314
2010-01-25,20025,19459.1740574971,565.82594250286
2010-01-26,19390,19421.031551346,-31.0315513459743
2010-01-27,19450,19382.9680076205,67.0319923795368
2010-01-28,18515,19344.9916349943,-829.991634994314
2010-01-29,17590,19307.1106698497,-1717.11066984972
2010-02-01,17430,19269.3330054839,-1839.33300548388
2010-02-02,17305,19231.6658254094,-1926.66582540943
2010-02-03,18160,19194.1155528324,-1034.11555283242
2010-02-04,17680,19156.6878145532,-1476.68781455325
2010-02-05,17145,19119.3878099098,-1974.38780990982
2010-02-08,17180,19082.2201278372,-1902.22012783724
2010-02-09,17310,19045.1885411378,-1735.18854113777
2010-02-10,17685,19008.2960363127,-1323.29603631275
2010-02-11,18075,18971.544882606,-896.544882606004
2010-02-12,18345,18934.9368022642,-589.936802264152
2010-02-22,18840,18898.4731469381,-58.4731469380703
2010-02-23,18775,18862.1550244228,-87.1550244227972
2010-02-24,18380,18825.9835183421,-445.983518342115
2010-02-25,18435,18789.9596762942,-354.959676294222
2010-02-26,18430,18754.0843615253,-324.084361525266
2010-03-01,18775,18718.358290556,56.6417094440329
2010-03-02,18060,18682.7820459432,-622.782045943189
2010-03-03,18255,18647.3562336568,-392.356233656801
2010-03-04,18350,18612.0812022336,-262.081202233586
2010-03-05,18590,18576.9571380272,13.0428619728018
2010-03-08,19235,18541.9841190563,693.015880943657
2010-03-09,19100,18507.1622287316,592.837771268438
2010-03-10,19355,18472.4918369282,882.508163071843
2010-03-11,18870,18437.9735585766,432.026441423387
2010-03-12,19055,18403.6083734014,651.391626598587
2010-03-15,18495,18369.3974397085,125.602560291509
2010-03-16,18655,18335.3421850634,319.657814936642
2010-03-17,18995,18301.4440889508,693.555911049184
2010-03-18,18715,18267.704762989,447.295237011002
2010-03-19,18965,18234.1261054843,730.873894515727
2010-03-22,18560,18200.7101996366,359.289800363443
2010-03-23,18515,18167.4594307601,347.540569239931
2010-03-24,18375,18134.3763326847,240.623667315304
2010-03-25,18400,18101.4635829,298.536417099995
2010-03-26,18610,18068.7239583594,541.276041640571
2010-03-29,18930,18036.1603594196,893.839640580445
2010-03-30,19090,18003.7759101783,1086.22408982174
2010-03-31,18975,17971.5741042111,1003.42589578893
2010-04-01,19430,17939.5588840953,1490.44111590467
2010-04-02,19495,17907.7346071837,1587.26539281633
2010-04-06,19690,17876.1062469171,1813.89375308287
2010-04-07,19700,17844.6794328489,1855.3205671511
2010-04-08,19220,17813.4605443225,1406.53945567748
2010-04-09,19400,17782.4567275966,1617.54327240338
2010-04-12,19530,17751.6757103366,1778.32428966341
2010-04-13,19350,17721.125888835,1628.87411116498
2010-04-14,19455,17690.8163944727,1764.18360552728
2010-04-15,19465,17660.7570319415,1804.24296805845
2010-04-16,19615,17630.9583351753,1984.04166482468
2010-04-19,18685,17601.4315839094,1083.56841609057
2010-04-20,18965,17572.1888780032,1392.81112199675
2010-04-21,19030,17543.2427652188,1486.75723478124
2010-04-22,18930,17514.6063690498,1415.3936309502
2010-04-23,18990,17486.2934275572,1503.7065724428
2010-04-26,19185,17458.3182638674,1726.68173613258
2010-04-27,18910,17430.6958226796,1479.30417732039
2010-04-28,18330,17403.4417624329,926.558237567114
2010-04-29,18420,17376.5723530516,1043.42764694837
2010-04-30,18365,17350.1042474624,1014.89575253764
2010-05-04,18060,17324.0545299031,735.945470096885
2010-05-05,17740,17298.4407041278,441.559295872197
2010-05-06,17440,17273.2805781009,166.719421899059
2010-05-07,16835,17248.5921423107,-413.592142310664
2010-05-10,17160,17224.3934561586,-64.3934561585567
2010-05-11,16705,17200.7024080866,-495.702408086636
2010-05-12,16795,17177.5368599165,-382.536859916486
2010-05-13,17105,17154.914468567,-49.9144685670444
2010-05-14,16945,17132.8527328316,-187.85273283156
2010-05-17,16125,17111.3691308709,-986.369130870862
2010-05-18,15700,17090.4810631963,-1390.48106319632
2010-05-19,15340,17070.2055225931,-1730.20552259308
2010-05-20,15555,17050.5589270774,-1495.55892707738
2010-05-21,15500,17031.5569794677,-1531.55697946771
2010-05-24,16035,17013.2147643788,-978.214764378843
2010-05-25,15515,16995.5467333411,-1480.54673334115
2010-05-26,15790,16978.566933531,-1188.56693353095
2010-05-27,16035,16962.2888001259,-927.28880012592
2010-05-28,16115,16946.7252769987,-831.725276998739
2010-05-31,16050,16931.888924716,-881.888924715993
2010-06-01,15680,16917.7919600446,-1237.79196004459
2010-06-02,15335,16904.4462352133,-1569.44623521333
2010-06-03,15215,16891.8630907971,-1676.86309079706
2010-06-04,14470,16880.0532186255,-2410.05321862553
2010-06-07,13900,16869.0266173796,-2969.02661737959
2010-06-08,13810,16858.7922895229,-3048.79228952291
2010-06-09,14305,16849.3580102414,-2544.35801024136
2010-06-10,14170,16840.730294474,-2670.73029447398
2010-06-11,14380,16832.9146054214,-2452.91460542139
2010-06-17,14295,16825.915302315,-2530.91530231498
2010-06-18,14055,16819.7357304494,-2764.73573044936
2010-06-21,14845,16814.3781889385,-1969.37818893847
2010-06-22,14810,16809.8438340692,-1999.84383406921
2010-06-23,15050,16806.1330080641,-1756.13300806406
2010-06-24,15345,16803.2452264911,-1458.24522649106
2010-06-25,15010,16801.1792790023,-1791.17927900233
2010-06-28,15365,16799.933352472,-1434.93335247202
2010-06-29,14825,16799.5048933728,-1974.50489337275
2010-06-30,14610,16799.890755031,-2189.89075503098
2010-07-01,14500,16801.086974595,-2301.08697459498
2010-07-02,15105,16803.0886839997,-1698.08868399968
2010-07-05,15230,16805.8900640026,-1575.89006400265
2010-07-06,15390,16809.4845934396,-1419.48459343958
2010-07-07,15195,16813.8650997364,-1618.86509973638
2010-07-08,15345,16819.023823563,-1474.02382356299
2010-07-09,15360,16824.9523364154,-1464.95233641541
2010-07-12,15170,16831.6416004833,-1661.64160048328
2010-07-13,14865,16839.0819724089,-1974.08197240891
2010-07-14,15105,16847.2631219756,-1742.26312197561
2010-07-15,15125,16856.1739029617,-1731.17390296166
2010-07-16,15230,16865.802448966,-1635.80244896596
2010-07-19,15160,16876.1361779853,-1716.13617798533
2010-07-20,15450,16887.1618318454,-1437.16183184543
2010-07-21,15450,16898.8654429888,-1448.8654429888
2010-07-22,15600,16911.2324497927,-1311.23244979272
2010-07-23,15885,16924.2476917332,-1039.24769173323
2010-07-26,16060,16937.8954662736,-877.895466273573
2010-07-27,15990,16952.1596412947,-962.159641294657
2010-07-28,16330,16967.0237217903,-637.023721790318
2010-07-29,16360,16982.4708150366,-622.470815036584
2010-07-30,16305,16998.4837649908,-693.483764990802
2010-08-02,16755,17015.0451583043,-260.045158304337
2010-08-03,16825,17032.1372949707,-207.13729497073
2010-08-04,17020,17049.742367491,-29.742367490995
2010-08-05,17085,17067.8424827444,17.1575172556288
2010-08-06,17385,17086.4197353156,298.580264684362
2010-08-09,17740,17105.4562268816,634.54377311844
2010-08-10,17400,17124.9341825403,275.065817459746
2010-08-11,17180,17144.8360896845,35.1639103154604
2010-08-12,16655,17165.1445494089,-510.144549408951
2010-08-13,17100,17185.8421773424,-85.842177342402
2010-08-16,17305,17206.9113782414,98.0886217586125
